size; duration; mean; reps
10;13.677042;0.13677;100
20;30.463581;0.304635;100
30;55.67209;0.55672;100
40;90.61908;0.90619;100
50;177.60051;1.776005;100
60;31.960625;0.319606;100
70;21.808796;0.218087;100
80;18.765331;0.187653;100
90;16.130667;0.161306;100
100;28.217625;0.282176;100
110;39.148003;0.39148;100
120;33.816666;0.338166;100
130;48.088337;0.480883;100
140;45.07433;0.450743;100
150;61.063793;0.610637;100
160;52.309708;0.523097;100
170;78.52288;0.785228;100
180;64.50925;0.645092;100
190;95.759415;0.957594;100
200;98.73821;0.987382;100
210;152.31004;1.5231;100
220;128.59326;1.285932;100
230;149.37729;1.493772;100
240;142.79208;1.42792;100
250;168.95738;1.689573;100
260;181.45554;1.814555;100
270;236.3562;2.363562;100
280;243.94774;2.439477;100
290;214.15468;2.141546;100
300;237.77655;2.377765;100
310;276.37613;2.763761;100
320;323.07288;3.230728;100
330;319.89798;3.198979;100
340;302.1211;3.02121;100
350;347.4929;3.474929;100
360;354.01843;3.540184;100
370;371.97946;3.719794;100
380;419.77515;4.197751;100
390;413.43106;4.13431;100
400;455.19342;4.551934;100
410;499.58456;4.995845;100
420;494.98044;4.949804;100
430;569.77246;5.697724;100
440;539.41095;5.394109;100
450;520.5354;5.205354;100
460;585.7662;5.857661;100
470;595.6224;5.956224;100
480;682.0236;6.820235;100
490;698.33075;6.983307;100
