size; duration; mean; reps
10;0.013677042;1.3676999E-4;100
20;0.030463582;3.0463497E-4;100
30;0.055672087;5.5672E-4;100
40;0.09061908;9.0618996E-4;100
50;0.1776005;0.001776005;100
60;0.031960625;3.19606E-4;100
70;0.021808796;2.18087E-4;100
80;0.018765332;1.87653E-4;100
90;0.016130667;1.6130599E-4;100
100;0.028217625;2.8217598E-4;100
110;0.039148003;3.9148E-4;100
120;0.033816665;3.38166E-4;100
130;0.04808834;4.80883E-4;100
140;0.04507433;4.5074298E-4;100
150;0.061063793;6.10637E-4;100
160;0.052309707;5.23097E-4;100
170;0.07852288;7.8522804E-4;100
180;0.06450925;6.45092E-4;100
190;0.095759414;9.5759396E-4;100
200;0.098738216;9.87382E-4;100
210;0.15231004;0.0015231001;100
220;0.12859327;0.0012859319;100
230;0.14937729;0.001493772;100
240;0.14279209;0.00142792;100
250;0.16895738;0.001689573;100
260;0.18145554;0.001814555;100
270;0.2363562;0.0023635621;100
280;0.24394774;0.002439477;100
290;0.21415468;0.002141546;100
300;0.23777655;0.002377765;100
310;0.27637613;0.002763761;100
320;0.32307288;0.003230728;100
330;0.31989798;0.003198979;100
340;0.3021211;0.00302121;100
350;0.3474929;0.0034749291;100
360;0.35401842;0.003540184;100
370;0.37197948;0.003719794;100
380;0.41977516;0.004197751;100
390;0.41343105;0.00413431;100
400;0.45519343;0.0045519336;100
410;0.49958456;0.004995845;100
420;0.49498042;0.004949804;100
430;0.5697725;0.005697724;100
440;0.53941095;0.0053941086;100
450;0.5205354;0.005205354;100
460;0.5857662;0.005857661;100
470;0.59562236;0.005956224;100
480;0.68202364;0.006820235;100
490;0.69833076;0.0069833067;100
