size; duration; mean; reps
100;11.908417;0.238168;50
600;24.831253;0.496625;50
1100;30.701124;0.614022;50
1600;24.578953;0.491579;50
2100;36.992214;0.739844;50
2600;40.532127;0.810642;50
3100;50.735752;1.014715;50
3600;62.892;1.257839;50
4100;65.80559;1.316111;50
4600;76.8048;1.536095;50
5100;85.58083;1.711616;50
5600;91.21684;1.824336;50
6100;104.14159;2.082831;50
6600;108.58443;2.171688;50
7100;118.42884;2.368576;50
7600;130.82837;2.616567;50
8100;137.62483;2.752496;50
8600;143.2688;2.865375;50
9100;150.77892;3.015578;50
9600;166.67447;3.333489;50
10100;174.32555;3.48651;50
10600;180.14142;3.602828;50
11100;188.3455;3.76691;50
11600;204.08496;4.081699;50
12100;210.71875;4.214374;50
12600;221.51083;4.430216;50
13100;229.14296;4.582859;50
13600;247.54857;4.950971;50
14100;248.47395;4.969479;50
14600;258.0397;5.160794;50
