size; duration; mean; reps
100;12.341707;0.246834;50
600;24.57254;0.49145;50
1100;30.000664;0.600013;50
1600;25.247;0.50494;50
2100;33.69279;0.673855;50
2600;39.29509;0.785901;50
3100;49.88125;0.997624;50
3600;62.832375;1.256647;50
4100;71.097664;1.421953;50
4600;76.9762;1.539524;50
5100;84.98196;1.699639;50
5600;94.7473;1.894945;50
6100;100.88604;2.01772;50
6600;113.471;2.26942;50
7100;118.22971;2.364594;50
7600;126.17475;2.523495;50
8100;135.83179;2.716635;50
8600;149.90508;2.998101;50
9100;154.39891;3.087978;50
9600;164.09428;3.281885;50
10100;182.04291;3.640858;50
10600;177.0637;3.541274;50
11100;193.54346;3.870869;50
11600;196.79158;3.935831;50
12100;205.08566;4.101713;50
12600;218.64954;4.37299;50
13100;225.18364;4.503672;50
13600;226.99467;4.539893;50
14100;236.80415;4.736083;50
14600;245.42392;4.908478;50
15100;255.66722;5.113344;50
15600;262.5249;5.250498;50
16100;279.75714;5.595143;50
16600;391.17676;7.823535;50
17100;390.01254;7.80025;50
17600;371.97205;7.43944;50
18100;401.9564;8.039127;50
18600;506.33954;10.12679;50
19100;420.0557;8.401113;50
19600;545.16296;10.903259;50
20100;352.80963;7.056192;50
20600;511.9622;10.239243;50
21100;628.55145;12.571028;50
21600;500.08453;10.00169;50
22100;600.8471;12.016942;50
22600;600.3653;12.007306;50
23100;560.8878;11.217755;50
23600;429.82648;8.596529;50
24100;637.9774;12.759548;50
24600;660.521;13.21042;50
25100;618.9923;12.379845;50
25600;742.167;14.843339;50
26100;646.87494;12.937498;50
26600;663.0529;13.261058;50
27100;773.60187;15.472036;50
27600;784.26624;15.685325;50
28100;789.4869;15.789737;50
28600;917.7876;18.355753;50
29100;912.4389;18.248777;50
29600;723.1432;14.462863;50
30100;774.73535;15.494707;50
30600;774.916;15.49832;50
31100;867.49457;17.349892;50
31600;842.62274;16.852453;50
32100;765.7495;15.31499;50
32600;895.43756;17.908752;50
33100;921.05304;18.42106;50
33600;1038.9285;20.77857;50
34100;836.3066;16.72613;50
34600;843.457;16.86914;50
35100;826.3738;16.527475;50
35600;1011.804;20.23608;50
36100;827.78265;16.555653;50
36600;935.80035;18.716007;50
37100;1331.3239;26.626476;50
37600;1242.0426;24.840853;50
38100;1213.474;24.26948;50
38600;1070.6589;21.413177;50
39100;1121.9244;22.43849;50
39600;1047.1759;20.94352;50
40100;1015.0951;20.3019;50
40600;1215.1538;24.303074;50
41100;1102.5955;22.051908;50
41600;1167.0072;23.340143;50
42100;1248.5184;24.970367;50
42600;1237.4365;24.748732;50
43100;1314.12;26.282398;50
43600;1176.154;23.52308;50
44100;1198.7184;23.974363;50
44600;1147.7681;22.95536;50
45100;1432.9929;28.659857;50
45600;1225.764;24.51528;50
46100;1355.2711;27.105421;50
46600;1338.7092;26.774183;50
47100;1164.19;23.2838;50
47600;1358.0168;27.160337;50
48100;1287.2429;25.744858;50
48600;1453.4158;29.068316;50
49100;1323.4092;26.468182;50
49600;1320.338;26.40676;50
