size; duration; mean; reps
10;3.482628;0.034826;100
20;9.214545;0.092145;100
30;22.381128;0.223811;100
40;40.316624;0.403166;100
50;48.419743;0.484197;100
60;55.742336;0.557423;100
70;77.36654;0.773665;100
80;88.36483;0.883648;100
90;85.326675;0.853266;100
100;4.262084;0.04262;100
110;3.915709;0.039157;100
120;5.101375;0.051013;100
130;5.206331;0.052063;100
140;5.848125;0.058481;100
150;6.701995;0.067019;100
160;137.63608;1.37636;100
170;9.481041;0.09481;100
180;9.355667;0.093556;100
190;8.484252;0.084842;100
200;9.439421;0.094394;100
210;7.763959;0.077639;100
220;11.64371;0.116437;100
230;11.12096;0.111209;100
240;9.68217;0.096821;100
250;10.850082;0.1085;100
260;10.623333;0.106233;100
270;66.521454;0.665214;100
280;13.718582;0.137185;100
290;13.041669;0.130416;100
300;13.000883;0.130008;100
310;13.168453;0.131684;100
320;14.003589;0.140035;100
330;16.292044;0.16292;100
340;14.823751;0.148237;100
350;25.107172;0.251071;100
360;21.309376;0.213093;100
370;18.403168;0.184031;100
380;19.215628;0.192156;100
390;16.86992;0.168699;100
400;16.765917;0.167659;100
410;20.3295;0.203295;100
420;37.90504;0.37905;100
430;19.342836;0.193428;100
440;22.494877;0.224948;100
450;23.674583;0.236745;100
460;43.81583;0.438158;100
470;23.268496;0.232684;100
480;21.20292;0.212029;100
490;37.493877;0.374938;100
500;24.300997;0.243009;100
510;41.57983;0.415798;100
520;23.462536;0.234625;100
530;41.780205;0.417802;100
540;25.5415;0.255414;100
550;27.304832;0.273048;100
560;33.84533;0.338453;100
570;35.8236;0.358235;100
580;52.990177;0.529901;100
590;41.107334;0.411073;100
600;43.665363;0.436653;100
610;57.26829;0.572682;100
620;31.616783;0.316167;100
630;30.523872;0.305238;100
640;29.342243;0.293422;100
650;58.503754;0.585037;100
660;31.206167;0.312061;100
670;60.049744;0.600497;100
680;56.91004;0.5691;100
690;45.544704;0.455447;100
700;35.37042;0.353704;100
710;44.357376;0.443573;100
720;87.78884;0.877888;100
730;33.62583;0.336258;100
740;70.962364;0.709623;100
750;67.76651;0.677665;100
760;49.912415;0.499124;100
770;62.554295;0.625542;100
780;74.82488;0.748248;100
790;52.62453;0.526245;100
800;71.38362;0.713836;100
810;59.150787;0.591507;100
820;66.44695;0.664469;100
830;72.3398;0.723397;100
840;45.92888;0.459288;100
850;57.25263;0.572526;100
860;39.48687;0.394868;100
870;62.961742;0.629617;100
880;40.522415;0.405224;100
890;77.618416;0.776184;100
900;41.055042;0.41055;100
910;62.723248;0.627232;100
920;48.58375;0.485837;100
930;59.615665;0.596156;100
940;58.62554;0.586255;100
950;53.43224;0.534322;100
960;64.44325;0.644432;100
970;62.363964;0.623639;100
980;57.07008;0.5707;100
990;51.19963;0.511996;100
1000;62.188335;0.621883;100
1010;53.912575;0.539125;100
1020;51.67395;0.516739;100
1030;60.039917;0.600399;100
1040;55.37416;0.553741;100
1050;57.181583;0.571815;100
1060;60.927746;0.609277;100
1070;68.36366;0.683636;100
1080;58.920296;0.589202;100
1090;58.687126;0.586871;100
1100;55.97137;0.559713;100
1110;56.072876;0.560728;100
1120;55.201042;0.55201;100
1130;69.74721;0.697472;100
1140;56.94979;0.569497;100
1150;56.783253;0.567832;100
1160;57.327915;0.573279;100
1170;76.69995;0.766999;100
1180;58.520668;0.585206;100
1190;58.974415;0.589744;100
1200;64.84996;0.648499;100
1210;68.87045;0.688704;100
1220;63.173664;0.631736;100
1230;61.780045;0.6178;100
1240;61.54325;0.615432;100
1250;71.43396;0.714339;100
1260;60.24384;0.602438;100
1270;60.267624;0.602676;100
1280;61.931293;0.619312;100
1290;78.0263;0.780262;100
1300;62.29567;0.622956;100
1310;64.64126;0.646412;100
1320;65.905495;0.659054;100
1330;78.60249;0.786024;100
1340;64.552124;0.645521;100
1350;66.834;0.668339;100
1360;68.71083;0.687108;100
1370;85.722;0.857219;100
1380;65.98684;0.659868;100
1390;72.53283;0.725328;100
1400;73.50875;0.735087;100
1410;69.02721;0.690272;100
1420;65.41583;0.654158;100
1430;69.205666;0.692056;100
1440;77.22063;0.772206;100
1450;107.285126;1.072851;100
1460;67.39533;0.673953;100
1470;71.36483;0.713648;100
1480;72.976166;0.729761;100
1490;87.27592;0.872759;100
1500;76.32112;0.763211;100
1510;77.64153;0.776415;100
1520;74.22984;0.742298;100
1530;92.12726;0.921272;100
1540;78.52621;0.785262;100
1550;76.10155;0.761015;100
1560;79.185715;0.791857;100
1570;101.14925;1.011492;100
1580;78.92025;0.789202;100
1590;78.40204;0.78402;100
1600;77.0165;0.770165;100
1610;104.714165;1.047141;100
1620;99.10471;0.991047;100
1630;83.53212;0.835321;100
1640;83.88067;0.838806;100
1650;106.64679;1.066467;100
1660;87.31992;0.873199;100
1670;82.627495;0.826274;100
1680;83.301506;0.833015;100
1690;88.84546;0.888454;100
1700;83.500595;0.835005;100
1710;86.28433;0.862843;100
1720;87.00017;0.870001;100
1730;84.88091;0.848809;100
1740;107.48391;1.074839;100
1750;87.133415;0.871334;100
1760;89.49362;0.894936;100
1770;86.44104;0.86441;100
1780;109.653;1.09653;100
1790;87.010704;0.870107;100
1800;91.67325;0.916732;100
1810;89.93467;0.899346;100
1820;108.79288;1.087928;100
1830;88.90725;0.889072;100
1840;93.655334;0.936553;100
1850;94.94825;0.949482;100
1860;114.85929;1.148592;100
1870;93.51479;0.935147;100
1880;90.28896;0.902889;100
1890;89.4965;0.894965;100
1900;114.563705;1.145637;100
1910;118.30717;1.183071;100
1920;95.72154;0.957215;100
1930;96.76105;0.96761;100
1940;97.48746;0.974874;100
1950;115.913826;1.159138;100
1960;100.01108;1.00011;100
1970;101.11622;1.011162;100
1980;97.780495;0.977804;100
1990;98.668335;0.986683;100
2000;113.53559;1.135355;100
2010;98.34296;0.983429;100
2020;100.02817;1.000281;100
2030;100.12583;1.001258;100
2040;106.43104;1.06431;100
2050;99.87579;0.998757;100
2060;102.437584;1.024375;100
2070;104.71466;1.047146;100
2080;102.584625;1.025846;100
2090;121.95917;1.219591;100
2100;108.663666;1.086636;100
2110;105.03163;1.050316;100
2120;106.46967;1.064696;100
2130;116.074585;1.160745;100
2140;105.94038;1.059403;100
2150;109.337296;1.093372;100
2160;108.48808;1.08488;100
2170;116.3805;1.163805;100
2180;110.11337;1.101133;100
