size; duration; mean; reps
10;0.0034826281;3.4826E-5;100
20;0.009214546;9.2145005E-5;100
30;0.022381129;2.23811E-4;100
40;0.040316623;4.03166E-4;100
50;0.048419744;4.84197E-4;100
60;0.055742335;5.57423E-4;100
70;0.07736654;7.7366503E-4;100
80;0.08836483;8.83648E-4;100
90;0.08532668;8.53266E-4;100
100;0.004262084;4.262E-5;100
110;0.003915709;3.9157E-5;100
120;0.0051013753;5.1013E-5;100
130;0.0052063307;5.2063E-5;100
140;0.005848125;5.8481E-5;100
150;0.0067019947;6.7019E-5;100
160;0.13763608;0.0013763601;100
170;0.009481041;9.481E-5;100
180;0.009355667;9.3556E-5;100
190;0.008484252;8.4841995E-5;100
200;0.009439421;9.4393996E-5;100
210;0.007763959;7.7639E-5;100
220;0.011643711;1.16437004E-4;100
230;0.01112096;1.11208996E-4;100
240;0.00968217;9.6821E-5;100
250;0.010850082;1.085E-4;100
260;0.010623333;1.06233E-4;100
270;0.06652145;6.6521403E-4;100
280;0.013718582;1.3718501E-4;100
290;0.013041669;1.3041601E-4;100
300;0.013000883;1.30008E-4;100
310;0.013168453;1.31684E-4;100
320;0.014003589;1.40035E-4;100
330;0.016292043;1.6292E-4;100
340;0.0148237515;1.48237E-4;100
350;0.025107171;2.51071E-4;100
360;0.021309376;2.13093E-4;100
370;0.018403167;1.84031E-4;100
380;0.019215629;1.92156E-4;100
390;0.016869921;1.68699E-4;100
400;0.016765917;1.67659E-4;100
410;0.0203295;2.0329501E-4;100
420;0.03790504;3.7904998E-4;100
430;0.019342836;1.93428E-4;100
440;0.022494877;2.24948E-4;100
450;0.023674583;2.36745E-4;100
460;0.04381583;4.38158E-4;100
470;0.023268495;2.32684E-4;100
480;0.02120292;2.12029E-4;100
490;0.037493877;3.74938E-4;100
500;0.024300996;2.43009E-4;100
510;0.04157983;4.1579801E-4;100
520;0.023462536;2.34625E-4;100
530;0.041780204;4.1780202E-4;100
540;0.0255415;2.5541402E-4;100
550;0.027304832;2.73048E-4;100
560;0.033845328;3.3845298E-4;100
570;0.035823602;3.58235E-4;100
580;0.052990176;5.29901E-4;100
590;0.041107334;4.11073E-4;100
600;0.043665364;4.3665298E-4;100
610;0.05726829;5.72682E-4;100
620;0.031616785;3.16167E-4;100
630;0.030523872;3.05238E-4;100
640;0.029342243;2.9342202E-4;100
650;0.058503754;5.85037E-4;100
660;0.031206166;3.1206102E-4;100
670;0.060049742;6.00497E-4;100
680;0.05691004;5.691E-4;100
690;0.045544706;4.5544698E-4;100
700;0.035370417;3.53704E-4;100
710;0.044357374;4.43573E-4;100
720;0.08778884;8.77888E-4;100
730;0.03362583;3.36258E-4;100
740;0.07096236;7.09623E-4;100
750;0.06776651;6.77665E-4;100
760;0.049912415;4.99124E-4;100
770;0.06255429;6.2554196E-4;100
780;0.074824885;7.4824796E-4;100
790;0.05262453;5.26245E-4;100
800;0.07138362;7.13836E-4;100
810;0.05915079;5.91507E-4;100
820;0.06644695;6.6446903E-4;100
830;0.072339796;7.23397E-4;100
840;0.04592888;4.59288E-4;100
850;0.057252627;5.7252595E-4;100
860;0.03948687;3.94868E-4;100
870;0.06296174;6.2961696E-4;100
880;0.040522415;4.0522398E-4;100
890;0.07761841;7.76184E-4;100
900;0.041055042;4.1055E-4;100
910;0.06272325;6.27232E-4;100
920;0.048583753;4.8583702E-4;100
930;0.059615664;5.96156E-4;100
940;0.05862554;5.86255E-4;100
950;0.05343224;5.34322E-4;100
960;0.06444325;6.4443203E-4;100
970;0.062363964;6.23639E-4;100
980;0.05707008;5.707E-4;100
990;0.05119963;5.11996E-4;100
1000;0.062188335;6.2188297E-4;100
1010;0.053912576;5.39125E-4;100
1020;0.05167395;5.1673903E-4;100
1030;0.060039915;6.0039904E-4;100
1040;0.05537416;5.53741E-4;100
1050;0.05718158;5.71815E-4;100
1060;0.060927745;6.09277E-4;100
1070;0.06836366;6.83636E-4;100
1080;0.058920294;5.89202E-4;100
1090;0.058687124;5.86871E-4;100
1100;0.05597137;5.59713E-4;100
1110;0.056072876;5.60728E-4;100
1120;0.055201042;5.5201E-4;100
1130;0.06974721;6.9747196E-4;100
1140;0.05694979;5.69497E-4;100
1150;0.05678325;5.67832E-4;100
1160;0.057327915;5.7327905E-4;100
1170;0.07669995;7.6699903E-4;100
1180;0.058520667;5.8520597E-4;100
1190;0.058974415;5.8974396E-4;100
1200;0.06484996;6.48499E-4;100
1210;0.068870455;6.88704E-4;100
1220;0.06317367;6.31736E-4;100
1230;0.061780043;6.178E-4;100
1240;0.061543252;6.1543204E-4;100
1250;0.07143396;7.14339E-4;100
1260;0.060243838;6.02438E-4;100
1270;0.060267624;6.0267595E-4;100
1280;0.061931293;6.19312E-4;100
1290;0.0780263;7.80262E-4;100
1300;0.062295668;6.2295597E-4;100
1310;0.06464126;6.46412E-4;100
1320;0.0659055;6.5905397E-4;100
1330;0.07860249;7.86024E-4;100
1340;0.06455212;6.45521E-4;100
1350;0.066834;6.68339E-4;100
1360;0.068710834;6.8710797E-4;100
1370;0.085722;8.57219E-4;100
1380;0.06598684;6.59868E-4;100
1390;0.07253283;7.2532805E-4;100
1400;0.073508754;7.35087E-4;100
1410;0.06902721;6.9027196E-4;100
1420;0.06541583;6.54158E-4;100
1430;0.069205664;6.92056E-4;100
1440;0.077220626;7.72206E-4;100
1450;0.10728513;0.0010728509;100
1460;0.06739533;6.73953E-4;100
1470;0.07136483;7.1364804E-4;100
1480;0.072976165;7.29761E-4;100
1490;0.087275915;8.72759E-4;100
1500;0.07632112;7.63211E-4;100
1510;0.07764153;7.76415E-4;100
1520;0.074229844;7.42298E-4;100
1530;0.092127256;9.21272E-4;100
1540;0.07852621;7.85262E-4;100
1550;0.07610155;7.61015E-4;100
1560;0.07918572;7.91857E-4;100
1570;0.101149246;0.001011492;100
1580;0.07892025;7.89202E-4;100
1590;0.078402035;7.8402E-4;100
1600;0.0770165;7.70165E-4;100
1610;0.10471416;0.0010471409;100
1620;0.09910471;9.91047E-4;100
1630;0.08353212;8.35321E-4;100
1640;0.08388067;8.38806E-4;100
