size;pStar;stdDev
2;0.600000;0.127475
4;0.558750;0.093883
6;0.576111;0.061817
8;0.568594;0.065509
10;0.573200;0.052457
12;0.581528;0.057765
14;0.584388;0.047129
16;0.573945;0.048176
18;0.585370;0.040587
20;0.578375;0.041829
22;0.580083;0.040166
24;0.590417;0.035342
26;0.595281;0.033370
28;0.592321;0.035901
30;0.588811;0.031784
32;0.591846;0.033986
34;0.596090;0.028781
36;0.588079;0.032632
38;0.587355;0.030158
40;0.590400;0.024330
42;0.591531;0.026302
44;0.588786;0.026396
46;0.591413;0.023100
48;0.591141;0.022160
50;0.593228;0.022751
52;0.595462;0.024012
54;0.587524;0.024179
56;0.589649;0.021960
58;0.593086;0.020026
60;0.591214;0.022910
62;0.594235;0.021104
64;0.590330;0.020257
66;0.592971;0.021295
68;0.593443;0.019760
70;0.591535;0.020128
72;0.590513;0.019465
74;0.592120;0.021408
76;0.589990;0.018729
78;0.594038;0.016357
80;0.593767;0.016644
82;0.593730;0.017048
84;0.590099;0.017304
86;0.592593;0.017620
88;0.593560;0.016749
90;0.591873;0.018105
92;0.592558;0.015477
94;0.591964;0.016039
96;0.590813;0.016269
98;0.592648;0.016234
100;0.593058;0.015394
102;0.593746;0.016705
104;0.592876;0.013624
106;0.592416;0.013670
108;0.595863;0.014621
110;0.595059;0.017414
112;0.594288;0.014195
114;0.595262;0.014310
116;0.593952;0.013180
118;0.589646;0.014894
120;0.591824;0.014179
122;0.593671;0.013738
124;0.593383;0.014658
126;0.593593;0.013600
128;0.593723;0.014018
130;0.593869;0.013426
132;0.593351;0.013201
134;0.594545;0.012239
136;0.590603;0.014249
138;0.589233;0.012137
140;0.593523;0.010511
142;0.592832;0.014117
144;0.592824;0.012284
146;0.593240;0.011478
148;0.592757;0.012102
150;0.593288;0.011484
152;0.591635;0.010831
154;0.591751;0.012564
156;0.593700;0.012014
158;0.593839;0.012224
160;0.593531;0.009649
162;0.593703;0.009924
164;0.593396;0.011248
166;0.591419;0.010563
168;0.592750;0.011902
170;0.592391;0.009367
172;0.593170;0.010777
174;0.591794;0.010862
176;0.594315;0.009795
178;0.593562;0.011099
180;0.593189;0.008939
182;0.593421;0.008981
184;0.591971;0.009969
186;0.593021;0.011219
188;0.591758;0.011002
190;0.592808;0.009703
192;0.593075;0.009517
194;0.593808;0.009323
196;0.591562;0.010177
198;0.592560;0.008815
200;0.593176;0.010727
202;0.592622;0.009278
204;0.594367;0.010550
206;0.593190;0.008458
208;0.593993;0.008614
210;0.590915;0.009030
212;0.592180;0.009300
214;0.593347;0.008461
216;0.592161;0.008070
218;0.594053;0.008510
220;0.592496;0.008025
222;0.591690;0.007427
224;0.592247;0.008139
226;0.592646;0.009426
228;0.591649;0.008561
230;0.591780;0.008777
232;0.592415;0.008233
234;0.590699;0.008726
236;0.592725;0.009032
238;0.592435;0.009280
240;0.592577;0.009098
242;0.590618;0.008099
244;0.593827;0.007959
246;0.593171;0.008776
248;0.593425;0.008564
250;0.592535;0.008237
252;0.592201;0.007784
254;0.592669;0.007504
256;0.593785;0.008065
258;0.593880;0.007710
260;0.592205;0.008365
262;0.592700;0.007349
264;0.593525;0.007736
266;0.592956;0.007077
268;0.591989;0.007601
270;0.592195;0.008450
272;0.592053;0.007873
274;0.593012;0.007606
276;0.592631;0.008466
278;0.592685;0.008017
280;0.593187;0.008656
282;0.592175;0.007861
284;0.591409;0.006928
286;0.593720;0.007732
288;0.593124;0.006389
290;0.591993;0.008100
292;0.591430;0.006603
294;0.592332;0.007047
296;0.592534;0.007797
298;0.593210;0.007103
300;0.592862;0.007070
302;0.592140;0.007872
304;0.592587;0.006309
306;0.592211;0.007243
308;0.592594;0.007422
310;0.593119;0.006861
312;0.592415;0.006696
314;0.592132;0.007576
316;0.593084;0.006744
318;0.592143;0.006520
320;0.592787;0.006894
322;0.591952;0.007936
324;0.592292;0.006553
326;0.593374;0.006328
328;0.592836;0.006496
330;0.591850;0.006576
332;0.594246;0.006822
334;0.592369;0.007257
336;0.591431;0.005982
338;0.591736;0.005855
340;0.591850;0.006112
342;0.591478;0.007232
344;0.591001;0.006272
346;0.592506;0.006127
348;0.592193;0.006802
350;0.593180;0.006722
352;0.592423;0.006680
354;0.592287;0.007121
356;0.590909;0.006355
358;0.593576;0.006522
360;0.591527;0.006580
362;0.592801;0.005694
364;0.591815;0.005849
366;0.592285;0.006112
368;0.592010;0.005633
370;0.592129;0.005638
372;0.593131;0.006186
374;0.591047;0.006477
376;0.592404;0.005921
378;0.593270;0.006571
380;0.593495;0.005694
382;0.592556;0.006400
384;0.592666;0.006502
386;0.593231;0.005950
388;0.592568;0.005540
390;0.593423;0.005267
392;0.592908;0.005825
394;0.592751;0.005176
396;0.592383;0.006162
398;0.592749;0.006124
400;0.591686;0.006108
402;0.593136;0.005433
404;0.593395;0.005343
406;0.593254;0.005195
408;0.593027;0.005854
410;0.592820;0.006232
412;0.592881;0.005607
414;0.593821;0.004934
416;0.593032;0.006045
418;0.592818;0.005157
420;0.592600;0.005860
422;0.592834;0.005202
424;0.593024;0.005783
426;0.592864;0.005804
428;0.591698;0.005280
430;0.591570;0.005075
432;0.593035;0.005873
434;0.592311;0.004981
436;0.592223;0.004977
438;0.592116;0.005600
440;0.591773;0.005064
442;0.592769;0.005369
444;0.592596;0.005099
446;0.592052;0.005105
448;0.592125;0.005645
450;0.591796;0.005445
452;0.592914;0.005405
454;0.592291;0.005346
456;0.593561;0.005903
458;0.592566;0.005149
460;0.592815;0.004756
462;0.593722;0.005128
464;0.593058;0.004964
466;0.592740;0.004727
468;0.592800;0.004998
470;0.591319;0.005205
472;0.592052;0.005166
474;0.592933;0.005362
476;0.592987;0.005032
478;0.593003;0.005254
480;0.592387;0.005507
482;0.592781;0.005141
484;0.593365;0.005207
486;0.592586;0.005171
488;0.593092;0.005115
490;0.593132;0.004882
492;0.592711;0.004670
494;0.591833;0.005157
496;0.593414;0.004921
498;0.592792;0.004387
500;0.591987;0.005049
