size; duration; mean; reps
10000;11.279249;0.112792;100
20000;1.693711;0.016937;100
30000;2.248763;0.022487;100
40000;11.257797;0.112577;100
50000;8.1965;0.081965;100
60000;9.668913;0.096689;100
70000;14.997006;0.14997;100
80000;12.251955;0.122519;100
90000;14.368638;0.143686;100
100000;15.488581;0.154885;100
110000;16.40729;0.164072;100
120000;20.6455;0.206455;100
130000;22.313925;0.223139;100
140000;21.10704;0.21107;100
150000;21.206846;0.212068;100
160000;24.643084;0.24643;100
170000;24.877497;0.248774;100
180000;25.133707;0.251337;100
190000;27.685871;0.276858;100
200000;27.453423;0.274534;100
210000;28.171926;0.281719;100
220000;30.03609;0.30036;100
230000;32.155327;0.321553;100
240000;31.137753;0.311377;100
250000;32.665585;0.326655;100
260000;35.42767;0.354276;100
270000;39.727707;0.397277;100
280000;41.396584;0.413965;100
290000;42.96783;0.429678;100
300000;44.812412;0.448124;100
310000;46.174007;0.46174;100
320000;47.27183;0.472718;100
330000;49.203407;0.492034;100
340000;49.929543;0.499295;100
350000;51.820168;0.518201;100
360000;53.489464;0.534894;100
370000;54.52788;0.545278;100
380000;56.14746;0.561474;100
390000;55.438957;0.554389;100
400000;59.274174;0.592741;100
410000;60.76254;0.607625;100
420000;61.66083;0.616608;100
430000;57.55188;0.575518;100
440000;64.36275;0.643627;100
450000;65.082664;0.650826;100
460000;67.155174;0.671551;100
470000;69.21203;0.69212;100
480000;71.45904;0.71459;100
490000;72.01067;0.720106;100
500000;72.82717;0.728271;100
510000;75.33841;0.753384;100
520000;76.4145;0.764145;100
530000;70.02;0.7002;100
540000;80.75741;0.807574;100
550000;82.1107;0.821107;100
560000;82.50683;0.825068;100
570000;82.17929;0.821792;100
580000;84.157326;0.841573;100
590000;85.22317;0.852231;100
600000;87.25421;0.872542;100
610000;90.42375;0.904237;100
620000;90.78534;0.907853;100
630000;91.92079;0.919207;100
640000;92.69991;0.926999;100
650000;93.79413;0.937941;100
660000;95.79508;0.95795;100
670000;96.61655;0.966165;100
680000;97.564705;0.975647;100
690000;102.40995;1.024099;100
700000;104.791794;1.047917;100
710000;101.44642;1.014464;100
720000;103.80074;1.038007;100
730000;104.41784;1.044178;100
740000;110.992676;1.109926;100
750000;109.315544;1.093155;100
760000;110.12154;1.101215;100
770000;112.460464;1.124604;100
780000;113.38192;1.133819;100
790000;114.29666;1.142966;100
800000;114.98104;1.14981;100
810000;115.90017;1.159001;100
820000;119.73133;1.197313;100
830000;120.11709;1.20117;100
840000;120.90346;1.209034;100
850000;121.70396;1.217039;100
860000;124.07721;1.240772;100
870000;124.34117;1.243411;100
880000;129.33759;1.293375;100
890000;129.1823;1.291822;100
900000;132.11426;1.321142;100
910000;131.68646;1.316864;100
920000;132.00934;1.320093;100
930000;134.20021;1.342002;100
940000;139.42262;1.394226;100
950000;138.78758;1.387875;100
960000;139.47359;1.394735;100
970000;141.66779;1.416677;100
980000;143.35712;1.433571;100
990000;142.1467;1.421467;100
