size; duration; mean; reps
1000;0.029458;0.029458;1
2000;0.019625;0.019625;1
3000;0.030709;0.030709;1
4000;0.040167;0.040167;1
5000;0.045041;0.045041;1
6000;0.052917;0.052917;1
7000;0.061917;0.061917;1
8000;0.069791;0.069791;1
9000;0.078;0.078;1
10000;0.086833;0.086833;1
11000;0.09475;0.09475;1
12000;0.104416;0.104416;1
13000;0.112167;0.112167;1
14000;0.120166;0.120166;1
15000;0.132042;0.132042;1
16000;0.137125;0.137125;1
17000;0.146417;0.146417;1
18000;0.154417;0.154417;1
19000;0.177791;0.177791;1
20000;0.171416;0.171416;1
21000;0.180292;0.180292;1
22000;0.188208;0.188208;1
23000;0.196875;0.196875;1
24000;0.204542;0.204542;1
25000;0.215458;0.215458;1
26000;0.221875;0.221875;1
27000;0.230167;0.230167;1
28000;0.239666;0.239666;1
29000;0.248458;0.248458;1
30000;0.256334;0.256334;1
31000;0.263625;0.263625;1
32000;0.272041;0.272041;1
33000;0.290125;0.290125;1
34000;0.289583;0.289583;1
35000;0.297875;0.297875;1
36000;0.305417;0.305417;1
37000;0.313792;0.313792;1
38000;0.322625;0.322625;1
39000;0.331125;0.331125;1
40000;0.339959;0.339959;1
41000;0.359875;0.359875;1
42000;0.366417;0.366417;1
43000;0.371875;0.371875;1
44000;0.374333;0.374333;1
45000;0.386709;0.386709;1
46000;0.390167;0.390167;1
47000;0.401041;0.401041;1
48000;0.411166;0.411166;1
49000;0.41875;0.41875;1
50000;0.426791;0.426791;1
51000;0.432958;0.432958;1
52000;0.4505;0.4505;1
53000;0.44925;0.44925;1
54000;0.461542;0.461542;1
55000;0.466167;0.466167;1
56000;0.476167;0.476167;1
57000;0.4865;0.4865;1
58000;0.4915;0.4915;1
59000;0.513459;0.513459;1
60000;0.512042;0.512042;1
61000;0.519416;0.519416;1
62000;0.534959;0.534959;1
63000;0.537;0.537;1
64000;0.547875;0.547875;1
65000;0.562583;0.562583;1
66000;0.56125;0.56125;1
67000;0.583459;0.583459;1
68000;0.579583;0.579583;1
69000;0.601583;0.601583;1
70000;0.595875;0.595875;1
71000;0.674125;0.674125;1
72000;0.65025;0.65025;1
73000;0.632458;0.632458;1
74000;0.627708;0.627708;1
75000;0.645;0.645;1
76000;0.644708;0.644708;1
77000;0.656625;0.656625;1
78000;0.668541;0.668541;1
79000;0.671042;0.671042;1
80000;0.679417;0.679417;1
81000;0.7;0.7;1
82000;0.6965;0.6965;1
83000;0.705333;0.705333;1
84000;0.719958;0.719958;1
85000;0.723916;0.723916;1
86000;0.767208;0.767208;1
87000;0.738167;0.738167;1
88000;0.746542;0.746542;1
89000;0.765375;0.765375;1
90000;0.763625;0.763625;1
91000;0.775625;0.775625;1
92000;0.783792;0.783792;1
93000;0.789667;0.789667;1
94000;0.796958;0.796958;1
95000;0.805958;0.805958;1
96000;0.817625;0.817625;1
97000;0.82325;0.82325;1
98000;0.999375;0.999375;1
99000;0.839583;0.839583;1
