size; duration; mean; reps
20000;2.220704;2.2E-5;100000
30000;1.96096;1.9E-5;100000
40000;1.994952;1.9E-5;100000
50000;2.056702;2.0E-5;100000
60000;2.100105;2.1E-5;100000
70000;1.999187;1.9E-5;100000
80000;2.019484;2.0E-5;100000
90000;1.911772;1.9E-5;100000
100000;1.936384;1.9E-5;100000
110000;2.031968;2.0E-5;100000
120000;1.861803;1.8E-5;100000
130000;1.8358;1.8E-5;100000
140000;1.99387;1.9E-5;100000
150000;2.05224;2.0E-5;100000
160000;2.016521;2.0E-5;100000
170000;1.936357;1.9E-5;100000
180000;1.907651;1.9E-5;100000
190000;2.009;2.0E-5;100000
200000;2.028349;2.0E-5;100000
210000;1.883355;1.8E-5;100000
220000;1.872548;1.8E-5;100000
230000;1.893126;1.8E-5;100000
240000;2.005971;2.0E-5;100000
250000;1.799249;1.7E-5;100000
260000;1.894651;1.8E-5;100000
270000;1.929569;1.9E-5;100000
280000;1.920961;1.9E-5;100000
290000;2.011525;2.0E-5;100000
300000;1.954816;1.9E-5;100000
310000;1.980586;1.9E-5;100000
320000;1.989806;1.9E-5;100000
330000;1.936345;1.9E-5;100000
340000;2.028404;2.0E-5;100000
350000;1.809206;1.8E-5;100000
360000;2.101167;2.1E-5;100000
370000;2.037678;2.0E-5;100000
380000;2.068517;2.0E-5;100000
390000;2.005617;2.0E-5;100000
400000;2.290917;2.2E-5;100000
410000;1.872885;1.8E-5;100000
420000;1.944706;1.9E-5;100000
430000;1.837009;1.8E-5;100000
440000;2.05193;2.0E-5;100000
450000;2.188909;2.1E-5;100000
460000;2.063748;2.0E-5;100000
470000;1.919981;1.9E-5;100000
480000;2.005029;2.0E-5;100000
490000;2.041791;2.0E-5;100000
500000;1.733729;1.7E-5;100000
510000;2.536065;2.5E-5;100000
520000;2.868096;2.8E-5;100000
530000;2.077049;2.0E-5;100000
540000;2.039468;2.0E-5;100000
550000;2.018001;2.0E-5;100000
560000;2.056155;2.0E-5;100000
570000;2.524194;2.5E-5;100000
580000;1.837957;1.8E-5;100000
590000;2.000917;2.0E-5;100000
600000;1.961618;1.9E-5;100000
610000;1.879995;1.8E-5;100000
620000;1.863667;1.8E-5;100000
630000;1.785067;1.7E-5;100000
640000;1.910599;1.9E-5;100000
650000;1.843034;1.8E-5;100000
660000;2.630329;2.6E-5;100000
670000;1.835187;1.8E-5;100000
680000;2.019891;2.0E-5;100000
690000;2.096114;2.0E-5;100000
700000;2.03428;2.0E-5;100000
710000;2.013642;2.0E-5;100000
720000;2.329237;2.3E-5;100000
730000;2.163318;2.1E-5;100000
740000;2.08987;2.0E-5;100000
750000;2.124528;2.1E-5;100000
760000;1.945663;1.9E-5;100000
770000;1.770339;1.7E-5;100000
780000;1.89656;1.8E-5;100000
790000;1.781664;1.7E-5;100000
800000;1.907629;1.9E-5;100000
810000;1.968659;1.9E-5;100000
820000;2.173269;2.1E-5;100000
830000;1.912869;1.9E-5;100000
840000;2.014937;2.0E-5;100000
850000;1.901307;1.9E-5;100000
860000;1.900139;1.9E-5;100000
870000;2.002797;2.0E-5;100000
880000;2.007516;2.0E-5;100000
890000;1.964184;1.9E-5;100000
900000;1.980434;1.9E-5;100000
910000;2.282961;2.2E-5;100000
920000;2.385256;2.3E-5;100000
930000;2.425133;2.4E-5;100000
940000;2.267389;2.2E-5;100000
950000;2.909139;2.9E-5;100000
960000;1.836975;1.8E-5;100000
970000;1.95339;1.9E-5;100000
980000;2.036807;2.0E-5;100000
990000;1.979128;1.9E-5;100000
