size; duration; mean; reps
10;2.291168;0.022911;100
20;1.677206;0.016772;100
30;1.559418;0.015594;100
40;2.864159;0.028641;100
50;4.407544;0.044075;100
60;5.997546;0.059975;100
70;11.719622;0.117196;100
80;13.258297;0.132582;100
90;9.527332;0.095273;100
100;5.886081;0.05886;100
110;7.001745;0.070017;100
120;8.100334;0.081003;100
130;9.907206;0.099072;100
140;11.09708;0.11097;100
150;13.107829;0.131078;100
160;14.39712;0.143971;100
170;16.271536;0.162715;100
180;18.217714;0.182177;100
190;20.309376;0.203093;100
200;23.260414;0.232604;100
210;23.795788;0.237957;100
220;26.373299;0.263732;100
230;27.763464;0.277634;100
240;30.510376;0.305103;100
250;30.344248;0.303442;100
260;32.617;0.32617;100
270;35.539616;0.355396;100
280;37.359257;0.373592;100
290;40.019585;0.400195;100
300;42.817165;0.428171;100
310;45.19663;0.451966;100
320;50.927746;0.509277;100
330;52.992;0.529919;100
340;56.37588;0.563758;100
350;58.860584;0.588605;100
360;62.719505;0.627195;100
370;64.937325;0.649373;100
380;71.667;0.71667;100
390;73.88265;0.738826;100
400;79.38909;0.79389;100
410;80.20109;0.80201;100
420;83.84209;0.83842;100
430;85.78587;0.857858;100
440;92.42249;0.924225;100
450;95.195335;0.951953;100
460;99.196335;0.991963;100
470;103.281166;1.032811;100
480;111.115166;1.111151;100
490;112.52621;1.125262;100
500;118.58359;1.185835;100
510;130.104;1.301039;100
520;128.44484;1.284448;100
530;130.09718;1.300971;100
540;137.8065;1.378064;100
550;140.06041;1.400604;100
560;152.01471;1.520147;100
570;154.9173;1.549172;100
580;163.10286;1.631028;100
590;165.25655;1.652565;100
600;168.52483;1.685248;100
610;173.73917;1.737391;100
620;180.61804;1.80618;100
630;187.64679;1.876467;100
640;192.81992;1.928199;100
650;197.12888;1.971288;100
660;204.12741;2.041274;100
670;207.75946;2.077594;100
680;214.83847;2.148384;100
690;230.19012;2.301901;100
