size; duration; mean; reps
10;0.002291168;2.2911E-5;100
20;0.001677206;1.6772E-5;100
30;0.0015594179;1.5594E-5;100
40;0.0028641592;2.8641E-5;100
50;0.004407544;4.4075E-5;100
60;0.005997546;5.9975E-5;100
70;0.011719622;1.17196E-4;100
80;0.013258297;1.3258199E-4;100
90;0.009527332;9.5273004E-5;100
100;0.005886081;5.886E-5;100
110;0.007001745;7.0017006E-5;100
120;0.008100335;8.1003E-5;100
130;0.009907206;9.9072E-5;100
140;0.01109708;1.10969995E-4;100
150;0.013107829;1.31078E-4;100
160;0.01439712;1.43971E-4;100
170;0.016271535;1.62715E-4;100
180;0.018217715;1.8217701E-4;100
190;0.020309376;2.03093E-4;100
200;0.023260415;2.32604E-4;100
210;0.023795787;2.37957E-4;100
220;0.026373299;2.6373198E-4;100
230;0.027763464;2.7763398E-4;100
240;0.030510375;3.05103E-4;100
250;0.030344248;3.03442E-4;100
260;0.032617;3.2617E-4;100
270;0.035539616;3.55396E-4;100
280;0.037359256;3.73592E-4;100
290;0.040019583;4.0019501E-4;100
300;0.042817164;4.28171E-4;100
310;0.04519663;4.5196599E-4;100
320;0.050927747;5.09277E-4;100
330;0.052992;5.2991905E-4;100
340;0.05637588;5.63758E-4;100
350;0.058860585;5.88605E-4;100
360;0.06271951;6.27195E-4;100
370;0.06493732;6.49373E-4;100
380;0.071667;7.1666995E-4;100
390;0.073882654;7.38826E-4;100
400;0.07938909;7.9389E-4;100
410;0.08020109;8.0201E-4;100
420;0.083842084;8.3841995E-4;100
430;0.08578587;8.57858E-4;100
440;0.09242249;9.2422497E-4;100
450;0.09519534;9.51953E-4;100
460;0.09919634;9.919631E-4;100
470;0.10328116;0.001032811;100
480;0.111115165;0.001111151;100
490;0.11252621;0.001125262;100
500;0.11858359;0.001185835;100
510;0.130104;0.001301039;100
520;0.12844484;0.0012844481;100
530;0.13009718;0.001300971;100
540;0.1378065;0.001378064;100
550;0.14006041;0.001400604;100
560;0.1520147;0.001520147;100
570;0.1549173;0.0015491721;100
580;0.16310287;0.001631028;100
590;0.16525654;0.001652565;100
600;0.16852483;0.001685248;100
610;0.17373917;0.001737391;100
620;0.18061805;0.00180618;100
630;0.18764679;0.001876467;100
640;0.19281992;0.0019281991;100
650;0.19712888;0.001971288;100
660;0.20412742;0.002041274;100
670;0.20775945;0.002077594;100
680;0.21483847;0.002148384;100
690;0.23019013;0.002301901;100
