size; duration; mean; reps
1000;1.235756;0.001235;1000
2000;0.425758;4.25E-4;1000
3000;0.177923;1.77E-4;1000
4000;0.143045;1.43E-4;1000
5000;0.198704;1.98E-4;1000
6000;0.484968;4.84E-4;1000
7000;0.391824;3.91E-4;1000
8000;0.095169;9.5E-5;1000
9000;0.073728;7.3E-5;1000
10000;0.078998;7.8E-5;1000
11000;0.113478;1.13E-4;1000
12000;0.102796;1.02E-4;1000
13000;0.101632;1.01E-4;1000
14000;0.13787;1.37E-4;1000
15000;0.118897;1.18E-4;1000
16000;0.132919;1.32E-4;1000
17000;0.111204;1.11E-4;1000
18000;0.139125;1.39E-4;1000
19000;0.226187;2.26E-4;1000
20000;0.122087;1.22E-4;1000
21000;0.125746;1.25E-4;1000
22000;0.122553;1.22E-4;1000
23000;0.111656;1.11E-4;1000
24000;0.13906;1.39E-4;1000
25000;0.106025;1.06E-4;1000
26000;0.109169;1.09E-4;1000
27000;0.15641;1.56E-4;1000
28000;0.187702;1.87E-4;1000
29000;0.146549;1.46E-4;1000
30000;0.131666;1.31E-4;1000
31000;0.119371;1.19E-4;1000
32000;0.160662;1.6E-4;1000
33000;0.119961;1.19E-4;1000
34000;0.130849;1.3E-4;1000
35000;0.132739;1.32E-4;1000
36000;0.138258;1.38E-4;1000
37000;0.239125;2.39E-4;1000
38000;0.161552;1.61E-4;1000
39000;0.266278;2.66E-4;1000
40000;0.172656;1.72E-4;1000
41000;0.132665;1.32E-4;1000
42000;0.28443;2.84E-4;1000
43000;0.286619;2.86E-4;1000
44000;0.11031;1.1E-4;1000
45000;0.205027;2.05E-4;1000
46000;0.286524;2.86E-4;1000
47000;0.139086;1.39E-4;1000
48000;0.141884;1.41E-4;1000
49000;0.163171;1.63E-4;1000
50000;0.152305;1.52E-4;1000
51000;0.157947;1.57E-4;1000
52000;0.166821;1.66E-4;1000
53000;0.156739;1.56E-4;1000
54000;0.15746;1.57E-4;1000
55000;0.150744;1.5E-4;1000
56000;0.154336;1.54E-4;1000
57000;0.170136;1.7E-4;1000
58000;0.160363;1.6E-4;1000
59000;0.153415;1.53E-4;1000
60000;0.364039;3.64E-4;1000
61000;0.217427;2.17E-4;1000
62000;0.224229;2.24E-4;1000
63000;0.205953;2.05E-4;1000
64000;0.29567;2.95E-4;1000
65000;0.179471;1.79E-4;1000
66000;0.163974;1.63E-4;1000
67000;0.277669;2.77E-4;1000
68000;0.521634;5.21E-4;1000
69000;0.228731;2.28E-4;1000
70000;0.309014;3.09E-4;1000
71000;0.487373;4.87E-4;1000
72000;0.219081;2.19E-4;1000
73000;0.177485;1.77E-4;1000
74000;0.200839;2.0E-4;1000
75000;0.181443;1.81E-4;1000
76000;0.20845;2.08E-4;1000
77000;0.210878;2.1E-4;1000
78000;0.166796;1.66E-4;1000
79000;0.169885;1.69E-4;1000
80000;0.176602;1.76E-4;1000
81000;0.188492;1.88E-4;1000
82000;0.20013;2.0E-4;1000
83000;0.197344;1.97E-4;1000
84000;0.162415;1.62E-4;1000
85000;0.150381;1.5E-4;1000
86000;0.162286;1.62E-4;1000
87000;0.158431;1.58E-4;1000
88000;0.197041;1.97E-4;1000
89000;0.251632;2.51E-4;1000
90000;0.189297;1.89E-4;1000
91000;0.193499;1.93E-4;1000
92000;0.175618;1.75E-4;1000
93000;0.170562;1.7E-4;1000
94000;0.170452;1.7E-4;1000
95000;0.225126;2.25E-4;1000
96000;0.329109;3.29E-4;1000
97000;0.16662;1.66E-4;1000
98000;0.163805;1.63E-4;1000
99000;0.196487;1.96E-4;1000
100000;0.190069;1.9E-4;1000
101000;0.375472;3.75E-4;1000
102000;0.322533;3.22E-4;1000
103000;0.182649;1.82E-4;1000
104000;0.184059;1.84E-4;1000
105000;0.188687;1.88E-4;1000
106000;0.193701;1.93E-4;1000
107000;0.408182;4.08E-4;1000
108000;0.207118;2.07E-4;1000
109000;0.514128;5.14E-4;1000
110000;0.227593;2.27E-4;1000
111000;0.260326;2.6E-4;1000
112000;0.160252;1.6E-4;1000
113000;0.186824;1.86E-4;1000
114000;0.162177;1.62E-4;1000
115000;0.206836;2.06E-4;1000
116000;0.155561;1.55E-4;1000
117000;0.15203;1.52E-4;1000
118000;0.154404;1.54E-4;1000
119000;0.153883;1.53E-4;1000
120000;0.144603;1.44E-4;1000
121000;0.155204;1.55E-4;1000
122000;0.171437;1.71E-4;1000
123000;0.13729;1.37E-4;1000
124000;0.187655;1.87E-4;1000
125000;0.271516;2.71E-4;1000
126000;0.420383;4.2E-4;1000
127000;0.160588;1.6E-4;1000
128000;0.184154;1.84E-4;1000
129000;1.364009;0.001364;1000
130000;0.169548;1.69E-4;1000
131000;0.34138;3.41E-4;1000
132000;0.227713;2.27E-4;1000
133000;0.177408;1.77E-4;1000
134000;0.195503;1.95E-4;1000
135000;0.368973;3.68E-4;1000
136000;0.185444;1.85E-4;1000
137000;0.217625;2.17E-4;1000
138000;0.17895;1.78E-4;1000
139000;0.25751;2.57E-4;1000
140000;0.144086;1.44E-4;1000
141000;0.16878;1.68E-4;1000
142000;0.16934;1.69E-4;1000
143000;0.186679;1.86E-4;1000
144000;0.170043;1.7E-4;1000
145000;0.183054;1.83E-4;1000
146000;0.201326;2.01E-4;1000
147000;0.190557;1.9E-4;1000
148000;0.197027;1.97E-4;1000
149000;0.216828;2.16E-4;1000
150000;0.171398;1.71E-4;1000
151000;0.179278;1.79E-4;1000
152000;0.533186;5.33E-4;1000
153000;0.354387;3.54E-4;1000
154000;0.200563;2.0E-4;1000
155000;0.184671;1.84E-4;1000
156000;0.184703;1.84E-4;1000
157000;0.187832;1.87E-4;1000
158000;0.170688;1.7E-4;1000
159000;0.282563;2.82E-4;1000
160000;0.206168;2.06E-4;1000
161000;0.197832;1.97E-4;1000
162000;0.177339;1.77E-4;1000
163000;0.20572;2.05E-4;1000
164000;0.191019;1.91E-4;1000
165000;0.169263;1.69E-4;1000
166000;0.176546;1.76E-4;1000
167000;0.337837;3.37E-4;1000
168000;0.194862;1.94E-4;1000
169000;0.189611;1.89E-4;1000
170000;1.889998;0.001889;1000
171000;0.208992;2.08E-4;1000
172000;0.185743;1.85E-4;1000
173000;0.178462;1.78E-4;1000
174000;0.164983;1.64E-4;1000
175000;0.274028;2.74E-4;1000
176000;0.171754;1.71E-4;1000
177000;0.205658;2.05E-4;1000
178000;0.192207;1.92E-4;1000
179000;0.180512;1.8E-4;1000
180000;0.180925;1.8E-4;1000
181000;0.204313;2.04E-4;1000
182000;0.27546;2.75E-4;1000
183000;0.183252;1.83E-4;1000
184000;0.21575;2.15E-4;1000
185000;0.175004;1.75E-4;1000
186000;0.181957;1.81E-4;1000
187000;0.448046;4.48E-4;1000
188000;0.237456;2.37E-4;1000
189000;0.23705;2.37E-4;1000
190000;0.247615;2.47E-4;1000
191000;0.222546;2.22E-4;1000
192000;0.207153;2.07E-4;1000
193000;0.216004;2.16E-4;1000
194000;0.184077;1.84E-4;1000
195000;0.191134;1.91E-4;1000
196000;0.169371;1.69E-4;1000
197000;0.183015;1.83E-4;1000
198000;0.183546;1.83E-4;1000
199000;0.184032;1.84E-4;1000
200000;0.198362;1.98E-4;1000
201000;0.198007;1.98E-4;1000
202000;0.216633;2.16E-4;1000
203000;0.198055;1.98E-4;1000
204000;0.229362;2.29E-4;1000
205000;0.356497;3.56E-4;1000
206000;0.192121;1.92E-4;1000
207000;0.232967;2.32E-4;1000
208000;0.211052;2.11E-4;1000
209000;0.356528;3.56E-4;1000
210000;0.184645;1.84E-4;1000
211000;0.172796;1.72E-4;1000
212000;0.188527;1.88E-4;1000
213000;0.20246;2.02E-4;1000
214000;0.180254;1.8E-4;1000
215000;0.20605;2.06E-4;1000
216000;0.19549;1.95E-4;1000
217000;0.2553;2.55E-4;1000
218000;0.267041;2.67E-4;1000
219000;0.228207;2.28E-4;1000
220000;0.338432;3.38E-4;1000
221000;0.331093;3.31E-4;1000
222000;0.169823;1.69E-4;1000
223000;0.188886;1.88E-4;1000
224000;0.186505;1.86E-4;1000
225000;0.357075;3.57E-4;1000
226000;0.214117;2.14E-4;1000
227000;0.191525;1.91E-4;1000
228000;0.237662;2.37E-4;1000
229000;0.173255;1.73E-4;1000
230000;0.171386;1.71E-4;1000
231000;0.210451;2.1E-4;1000
232000;0.170297;1.7E-4;1000
233000;0.208293;2.08E-4;1000
234000;0.189039;1.89E-4;1000
235000;0.187955;1.87E-4;1000
236000;0.20118;2.01E-4;1000
237000;0.375792;3.75E-4;1000
238000;0.193043;1.93E-4;1000
239000;0.184463;1.84E-4;1000
240000;0.194122;1.94E-4;1000
241000;0.205308;2.05E-4;1000
242000;0.437461;4.37E-4;1000
243000;0.183257;1.83E-4;1000
