size; duration; mean; reps
3000;2.4964E-5;2.4E-8;1000
4000;2.5754E-5;2.4999999E-8;1000
5000;2.7378E-5;2.7E-8;1000
6000;2.8307E-5;2.8E-8;1000
7000;1.505E-5;1.5E-8;1000
8000;1.2086E-5;1.2E-8;1000
9000;1.1083001E-5;1.1E-8;1000
10000;1.0918E-5;1.0E-8;1000
11000;1.2585E-5;1.2E-8;1000
12000;1.3046E-5;1.3E-8;1000
13000;1.644E-5;1.6E-8;1000
14000;1.3169E-5;1.3E-8;1000
15000;1.3333E-5;1.3E-8;1000
16000;1.2586001E-5;1.2E-8;1000
17000;1.0587E-5;1.0E-8;1000
18000;1.9184E-5;1.9E-8;1000
19000;1.21719995E-5;1.2E-8;1000
20000;1.0919E-5;1.0E-8;1000
21000;3.5626003E-5;3.5E-8;1000
22000;1.3746E-5;1.3E-8;1000
23000;1.3676E-5;1.3E-8;1000
24000;1.04989995E-5;1.0E-8;1000
25000;1.6704E-5;1.6E-8;1000
26000;3.4466E-5;3.4E-8;1000
27000;1.363E-5;1.3E-8;1000
28000;1.266E-5;1.2E-8;1000
29000;1.3081E-5;1.3E-8;1000
30000;1.2128E-5;1.2E-8;1000
31000;1.0919E-5;1.0E-8;1000
32000;1.179E-5;1.1E-8;1000
33000;1.1749E-5;1.1E-8;1000
34000;1.0541001E-5;1.0E-8;1000
35000;3.4213E-5;3.4E-8;1000
36000;1.3367E-5;1.3E-8;1000
37000;1.1591E-5;1.1E-8;1000
38000;1.1376E-5;1.1E-8;1000
39000;1.1748E-5;1.1E-8;1000
40000;1.1169E-5;1.1E-8;1000
41000;1.0625E-5;1.0E-8;1000
42000;1.354E-5;1.3E-8;1000
43000;1.4659E-5;1.4E-8;1000
44000;1.5643001E-5;1.5E-8;1000
45000;1.2660999E-5;1.2E-8;1000
46000;1.3086999E-5;1.3E-8;1000
47000;1.2582001E-5;1.2E-8;1000
48000;1.4120999E-5;1.4E-8;1000
49000;1.2374E-5;1.2E-8;1000
50000;1.2674E-5;1.2E-8;1000
51000;1.2703E-5;1.2E-8;1000
52000;1.6592E-5;1.6E-8;1000
53000;1.3457E-5;1.3E-8;1000
54000;3.6081E-5;3.6000003E-8;1000
55000;1.3997E-5;1.3E-8;1000
56000;1.0787E-5;1.0E-8;1000
57000;1.1791E-5;1.1E-8;1000
58000;1.4786E-5;1.4E-8;1000
59000;1.23810005E-5;1.2E-8;1000
60000;3.4205E-5;3.4E-8;1000
61000;1.3467E-5;1.3E-8;1000
62000;1.0709E-5;1.0E-8;1000
63000;2.6463E-5;2.6E-8;1000
64000;2.1578E-5;2.1E-8;1000
65000;1.6746E-5;1.6E-8;1000
66000;1.6997E-5;1.6E-8;1000
67000;1.8263E-5;1.8000001E-8;1000
68000;1.7043E-5;1.7E-8;1000
69000;1.7709E-5;1.7E-8;1000
70000;1.4255001E-5;1.4E-8;1000
71000;1.8032E-5;1.8000001E-8;1000
72000;1.655E-5;1.6E-8;1000
73000;1.4044E-5;1.4E-8;1000
74000;1.48750005E-5;1.4E-8;1000
75000;1.6451E-5;1.6E-8;1000
76000;1.4545E-5;1.4E-8;1000
77000;1.4457E-5;1.4E-8;1000
78000;1.7873E-5;1.7E-8;1000
79000;1.8671E-5;1.8000001E-8;1000
80000;1.5499001E-5;1.5E-8;1000
81000;1.4293E-5;1.4E-8;1000
83000;1.7126E-5;1.7E-8;1000
85000;1.6122E-5;1.6E-8;1000
86000;1.6544E-5;1.6E-8;1000
87000;1.4458E-5;1.4E-8;1000
88000;1.7088E-5;1.7E-8;1000
89000;1.8924E-5;1.8000001E-8;1000
90000;1.5912E-5;1.5E-8;1000
91000;1.7295999E-5;1.7E-8;1000
92000;1.7337E-5;1.7E-8;1000
93000;1.9332E-5;1.9E-8;1000
94000;4.4206E-5;4.4E-8;1000
95000;1.6242999E-5;1.6E-8;1000
96000;1.9391E-5;1.9E-8;1000
97000;1.4674E-5;1.4E-8;1000
98000;1.8409999E-5;1.8000001E-8;1000
99000;1.4538E-5;1.4E-8;1000
100000;1.5204E-5;1.5E-8;1000
101000;1.6331E-5;1.6E-8;1000
102000;1.4415E-5;1.4E-8;1000
103000;1.5543E-5;1.5E-8;1000
104000;1.783E-5;1.7E-8;1000
105000;1.4292E-5;1.4E-8;1000
106000;1.509E-5;1.5E-8;1000
107000;1.6251E-5;1.6E-8;1000
108000;1.5834E-5;1.5E-8;1000
109000;1.4120001E-5;1.4E-8;1000
110000;1.4916E-5;1.4E-8;1000
111000;1.6376E-5;1.6E-8;1000
112000;1.7085002E-5;1.7E-8;1000
113000;1.9205001E-5;1.9E-8;1000
114000;1.7875998E-5;1.7E-8;1000
115000;1.7078999E-5;1.7E-8;1000
116000;1.7238E-5;1.7E-8;1000
117000;1.6221E-5;1.6E-8;1000
118000;1.5089E-5;1.5E-8;1000
119000;1.8014998E-5;1.8000001E-8;1000
120000;1.8386001E-5;1.8000001E-8;1000
121000;1.7286999E-5;1.7E-8;1000
122000;1.7577E-5;1.7E-8;1000
123000;1.6664E-5;1.6E-8;1000
124000;1.6703001E-5;1.6E-8;1000
125000;1.6790002E-5;1.6E-8;1000
127000;1.7085998E-5;1.7E-8;1000
128000;1.8548E-5;1.8000001E-8;1000
129000;1.7708E-5;1.7E-8;1000
130000;1.7706E-5;1.7E-8;1000
131000;1.7457001E-5;1.7E-8;1000
132000;1.8075001E-5;1.8000001E-8;1000
133000;2.9469E-5;2.9E-8;1000
134000;1.7960001E-5;1.7E-8;1000
135000;1.7748E-5;1.7E-8;1000
136000;2.0688E-5;2.0E-8;1000
137000;1.7696E-5;1.7E-8;1000
138000;3.2246E-5;3.2E-8;1000
139000;1.7497E-5;1.7E-8;1000
140000;1.7375E-5;1.7E-8;1000
141000;1.7458E-5;1.7E-8;1000
142000;1.8084998E-5;1.8000001E-8;1000
143000;1.8415E-5;1.8000001E-8;1000
144000;1.7542001E-5;1.7E-8;1000
145000;1.7353E-5;1.7E-8;1000
