size;duration;mean;reps
0;0;0;50
20;0;0;50
40;2;0.04;50
60;3;0.06;50
80;6;0.12;50
100;7;0.14;50
120;7;0.14;50
140;8;0.16;50
160;8;0.16;50
180;8;0.16;50
200;8;0.16;50
220;8;0.16;50
240;9;0.18;50
260;9;0.18;50
280;9;0.18;50
300;10;0.2;50
320;11;0.22;50
340;12;0.24;50
360;12;0.24;50
380;13;0.26;50
400;14;0.28;50
420;14;0.28;50
440;15;0.3;50
460;16;0.32;50
480;17;0.34;50
500;18;0.36;50
520;19;0.38;50
540;19;0.38;50
560;20;0.4;50
580;20;0.4;50
600;21;0.42;50
620;21;0.42;50
640;22;0.44;50
660;22;0.44;50
680;24;0.48;50
700;24;0.48;50
720;25;0.5;50
740;25;0.5;50
760;26;0.52;50
780;27;0.54;50
800;28;0.56;50
820;28;0.56;50
840;29;0.58;50
860;29;0.58;50
880;31;0.62;50
900;31;0.62;50
920;32;0.64;50
940;32;0.64;50
960;33;0.66;50
980;33;0.66;50
1000;34;0.68;50
1020;35;0.7;50
1040;36;0.72;50
1060;36;0.72;50
1080;37;0.74;50
1100;38;0.76;50
1120;38;0.76;50
1140;39;0.78;50
1160;41;0.82;50
1180;40;0.8;50
1200;41;0.82;50
1220;42;0.84;50
1240;154;3.08;50
1260;100;2;50
1280;85;1.7;50
1300;63;1.26;50
1320;50;1;50
1340;50;1;50
1360;47;0.94;50
1380;48;0.96;50
1400;49;0.98;50
1420;49;0.98;50
1440;49;0.98;50
1460;50;1;50
1480;51;1.02;50
1500;51;1.02;50
1520;52;1.04;50
1540;52;1.04;50
1560;53;1.06;50
1580;55;1.1;50
1600;56;1.12;50
1620;56;1.12;50
1640;57;1.14;50
1660;57;1.14;50
1680;58;1.16;50
1700;58;1.16;50
1720;60;1.2;50
1740;61;1.22;50
1760;61;1.22;50
1780;61;1.22;50
1800;61;1.22;50
1820;62;1.24;50
1840;63;1.26;50
1860;63;1.26;50
1880;64;1.28;50
1900;65;1.3;50
1920;66;1.32;50
1940;68;1.36;50
1960;67;1.34;50
1980;68;1.36;50
2000;68;1.36;50
2020;78;1.56;50
2040;75;1.5;50
2060;75;1.5;50
2080;77;1.54;50
2100;77;1.54;50
2120;76;1.52;50
2140;77;1.54;50
2160;76;1.52;50
2180;74;1.48;50
2200;75;1.5;50
2220;77;1.54;50
2240;81;1.62;50
2260;83;1.66;50
2280;81;1.62;50
2300;81;1.62;50
2320;83;1.66;50
2340;83;1.66;50
2360;83;1.66;50
2380;84;1.68;50
2400;85;1.7;50
2420;87;1.74;50
2440;86;1.72;50
2460;87;1.74;50
2480;87;1.74;50
2500;89;1.78;50
2520;90;1.8;50
2540;89;1.78;50
2560;91;1.82;50
2580;91;1.82;50
2600;93;1.86;50
2620;92;1.84;50
2640;94;1.88;50
2660;95;1.9;50
2680;96;1.92;50
2700;99;1.98;50
2720;95;1.9;50
2740;96;1.92;50
2760;96;1.92;50
2780;97;1.94;50
2800;98;1.96;50
2820;99;1.98;50
2840;100;2;50
2860;100;2;50
2880;100;2;50
2900;101;2.02;50
2920;102;2.04;50
2940;104;2.08;50
2960;104;2.08;50
2980;104;2.08;50
3000;106;2.12;50
3020;106;2.12;50
3040;107;2.14;50
3060;106;2.12;50
3080;109;2.18;50
3100;109;2.18;50
3120;111;2.22;50
3140;111;2.22;50
3160;110;2.2;50
3180;111;2.22;50
3200;113;2.26;50
3220;113;2.26;50
3240;114;2.28;50
3260;117;2.34;50
3280;118;2.36;50
3300;115;2.3;50
3320;116;2.32;50
3340;117;2.34;50
3360;117;2.34;50
3380;118;2.36;50
3400;120;2.4;50
3420;121;2.42;50
3440;121;2.42;50
3460;122;2.44;50
3480;123;2.46;50
3500;124;2.48;50
3520;125;2.5;50
3540;125;2.5;50
3560;126;2.52;50
3580;127;2.54;50
3600;129;2.58;50
3620;129;2.58;50
3640;129;2.58;50
3660;129;2.58;50
3680;129;2.58;50
3700;130;2.6;50
3720;129;2.58;50
3740;135;2.7;50
3760;136;2.72;50
3780;134;2.68;50
3800;134;2.68;50
3820;135;2.7;50
3840;136;2.72;50
3860;134;2.68;50
3880;135;2.7;50
3900;136;2.72;50
3920;137;2.74;50
3940;140;2.8;50
3960;139;2.78;50
3980;139;2.78;50
4000;142;2.84;50
4020;142;2.84;50
4040;147;2.94;50
4060;143;2.86;50
4080;145;2.9;50
4100;142;2.84;50
4120;141;2.82;50
4140;141;2.82;50
4160;148;2.96;50
4180;144;2.88;50
4200;147;2.94;50
4220;147;2.94;50
4240;148;2.96;50
4260;146;2.92;50
4280;146;2.92;50
4300;147;2.94;50
4320;151;3.02;50
4340;150;3;50
4360;151;3.02;50
4380;152;3.04;50
4400;152;3.04;50
4420;154;3.08;50
4440;163;3.26;50
4460;162;3.24;50
4480;165;3.3;50
4500;160;3.2;50
4520;162;3.24;50
4540;161;3.22;50
4560;167;3.34;50
4580;168;3.36;50
4600;169;3.38;50
4620;172;3.44;50
4640;167;3.34;50
4660;166;3.32;50
4680;173;3.46;50
4700;170;3.4;50
4720;169;3.38;50
4740;171;3.42;50
4760;176;3.52;50
4780;170;3.4;50
4800;176;3.52;50
4820;175;3.5;50
4840;173;3.46;50
4860;174;3.48;50
4880;175;3.5;50
4900;175;3.5;50
4920;177;3.54;50
4940;177;3.54;50
4960;177;3.54;50
4980;180;3.6;50
5000;179;3.58;50
5020;181;3.62;50
5040;181;3.62;50
5060;182;3.64;50
5080;183;3.66;50
5100;183;3.66;50
5120;184;3.68;50
5140;184;3.68;50
5160;188;3.76;50
5180;190;3.8;50
5200;190;3.8;50
5220;191;3.82;50
5240;194;3.88;50
5260;188;3.76;50
5280;189;3.78;50
5300;192;3.84;50
5320;194;3.88;50
5340;194;3.88;50
5360;196;3.92;50
5380;191;3.82;50
5400;193;3.86;50
5420;194;3.88;50
5440;194;3.88;50
5460;199;3.98;50
5480;194;3.88;50
5500;197;3.94;50
5520;198;3.96;50
5540;198;3.96;50
5560;203;4.06;50
5580;203;4.06;50
5600;204;4.08;50
5620;206;4.12;50
5640;206;4.12;50
5660;207;4.14;50
5680;208;4.16;50
5700;204;4.08;50
5720;205;4.1;50
5740;208;4.16;50
5760;206;4.12;50
5780;211;4.22;50
5800;212;4.24;50
5820;212;4.24;50
5840;214;4.28;50
5860;209;4.18;50
5880;210;4.2;50
5900;215;4.3;50
5920;215;4.3;50
5940;218;4.36;50
5960;211;4.22;50
5980;218;4.36;50
6000;212;4.24;50
6020;214;4.28;50
6040;222;4.44;50
6060;214;4.28;50
6080;218;4.36;50
6100;216;4.32;50
6120;222;4.44;50
6140;224;4.48;50
6160;221;4.42;50
6180;224;4.48;50
6200;222;4.44;50
6220;220;4.4;50
6240;223;4.46;50
6260;222;4.44;50
6280;225;4.5;50
6300;225;4.5;50
6320;226;4.52;50
6340;231;4.62;50
6360;231;4.62;50
6380;231;4.62;50
6400;232;4.64;50
6420;233;4.66;50
6440;229;4.58;50
6460;229;4.58;50
6480;231;4.62;50
