size; duration; mean; repeats
100; 33.795418;3.3795419;10
200; 565.4434;56.544342;10
300; 1227.5109;122.75108;10
400; 190.78717;19.078716;10
500; 135.40628;13.540628;10
600; 116.658035;11.665804;10
700; 176.74863;17.674862;10
800; 222.57109;22.257109;10
900; 1143.9246;114.392456;10
1000; 747.2394;74.72394;10
1100; 673.00165;67.30016;10
1200; 1172.645;117.2645;10
1300; 705.8151;70.58151;10
1400; 3721.4397;372.14398;10
1500; 2232.7688;223.27689;10
1600; 2605.214;260.52142;10
1700; 4334.1465;433.41464;10
1800; 4198.5474;419.85474;10
1900; 3991.005;399.1005;10
2000; 3706.059;370.6059;10
2100; 6035.002;603.5002;10
2200; 8215.04;821.504;10
2300; 6600.039;660.0039;10
2400; 9108.336;910.8336;10
2500; 10806.039;1080.6039;10
2600; 8763.395;876.3395;10
2700; 10582.426;1058.2426;10
2800; 10238.771;1023.87714;10
2900; 10499.945;1049.9945;10
