size; duration; mean; reps
100;9514.457;951.445;10
200;20210.168;2021.016;10
300;22495.252;2249.525;10
400;34108.586;3410.858;10
500;71506.55;7150.654;10
600;86550.586;8655.058;10
700;41520.246;4152.024;10
800;45095.168;4509.516;10
900;54121.504;5412.15;10
1000;36487.54;3648.754;10
1100;5194.666;519.466;10
1200;10118.459;1011.845;10
1300;7893.666;789.366;10
1400;8559.291;855.929;10
1500;9277.708;927.77;10
1600;10454.208;1045.42;10
1700;12336.582;1233.658;10
1800;11571.458;1157.145;10
1900;10924.876;1092.487;10
2000;12485.917;1248.591;10
2100;11185.75;1118.575;10
2200;12276.126;1227.612;10
2300;12205.293;1220.529;10
2400;538798.2;53879.82;10
2500;11732.25;1173.225;10
2600;12562.749;1256.274;10
2700;15585.624;1558.562;10
2800;16523.748;1652.374;10
2900;15645.709;1564.57;10
