size; duration; mean; reps
100;113557.71;11355.771;10
200;402267.56;40226.754;10
300;120432.0;12043.2;10
400;92090.21;9209.02;10
500;115878.375;11587.837;10
600;114046.67;11404.666;10
700;635961.9;63596.188;10
800;411193.88;41119.387;10
900;789291.6;78929.16;10
1000;825036.75;82503.67;10
1100;1009316.1;100931.61;10
1200;1439279.8;143927.97;10
1300;1669133.2;166913.34;10
1400;1540014.8;154001.47;10
1500;2381965.0;238196.5;10
1600;3152529.8;315252.97;10
1700;3129669.5;312966.94;10
1800;3540546.0;354054.6;10
1900;4028910.0;402891.0;10
2000;4407087.5;440708.78;10
2100;4710380.5;471038.1;10
2200;4951851.5;495185.16;10
2300;6663589.5;666358.94;10
2400;6547119.0;654711.9;10
2500;6388430.0;638843.0;10
2600;7662594.0;766259.4;10
2700;7702348.0;770234.75;10
2800;8430126.0;843012.6;10
2900;1.0016144E7;1001614.4;10
