size; duration; mean; reps
500;66.085;3.304;20
1000;48.419;2.42;20
1500;73.916;3.695;20
2000;101.334;5.066;20
2500;137.626;6.881;20
3000;138.957;6.947;20
3500;215.749;10.787;20
4000;225.584;11.279;20
4500;230.042;11.502;20
5000;210.709;10.535;20
5500;266.75;13.337;20
6000;297.749;14.887;20
6500;407.373;20.368;20
7000;381.208;19.06;20
7500;344.661;17.233;20
8000;382.798;19.139;20
8500;449.252;22.462;20
9000;554.794;27.739;20
9500;767.75;38.387;20
10000;640.79;32.039;20
10500;540.29;27.014;20
11000;683.75;34.187;20
11500;571.583;28.579;20
12000;595.458;29.772;20
12500;704.207;35.21;20
13000;762.335;38.116;20
13500;714.46;35.723;20
14000;949.041;47.452;20
14500;801.79;40.089;20
15000;768.248;38.412;20
15500;876.211;43.81;20
16000;930.918;46.545;20
16500;719.375;35.968;20
17000;806.582;40.329;20
17500;877.251;43.862;20
18000;1030.831;51.541;20
18500;993.377;49.668;20
19000;1077.124;53.856;20
19500;1085.084;54.254;20
20000;1181.336;59.066;20
20500;826.587;41.329;20
21000;879.541;43.977;20
21500;1053.209;52.66;20
22000;1096.5;54.825;20
22500;1109.124;55.456;20
23000;856.043;42.802;20
23500;1192.291;59.614;20
24000;1090.876;54.543;20
24500;1123.499;56.174;20
25000;1018.459;50.922;20
25500;1161.332;58.066;20
26000;1261.919;63.095;20
26500;1398.458;69.922;20
27000;1139.584;56.979;20
27500;1592.081;79.604;20
28000;1566.627;78.331;20
28500;1121.501;56.075;20
29000;1455.292;72.764;20
29500;1207.292;60.364;20
