size; duration; mean
500; 0.15270598;0.007635299;20
1000; 0.55758196;0.027879098;20
1500; 0.13233198;0.006616599;20
2000; 0.081501;0.00407505;20
2500; 0.18324801;0.009162401;20
3000; 0.19020799;0.0095104;20
3500; 0.15233397;0.0076166987;20
4000; 0.280083;0.01400415;20
4500; 0.25641602;0.012820801;20
5000; 0.32108402;0.016054202;20
5500; 0.414835;0.02074175;20
6000; 0.47741598;0.0238708;20
6500; 0.519334;0.0259667;20
7000; 0.503999;0.02519995;20
7500; 0.44962502;0.022481252;20
8000; 0.78182906;0.039091453;20
8500; 0.6516659;0.032583296;20
9000; 0.71120906;0.03556045;20
9500; 0.506585;0.02532925;20
10000; 0.67787504;0.033893753;20
10500; 0.95825005;0.0479125;20
11000; 0.8015441;0.040077202;20
11500; 0.75478995;0.037739497;20
12000; 0.84283304;0.042141654;20
12500; 1.0369979;0.051849894;20
13000; 0.97429;0.0487145;20
13500; 1.300915;0.06504575;20
14000; 1.330541;0.06652705;20
14500; 1.5332069;0.07666035;20
15000; 1.3132459;0.065662295;20
15500; 1.591083;0.079554155;20
16000; 1.5664179;0.0783209;20
16500; 1.8698331;0.09349166;20
17000; 1.4675441;0.07337721;20
17500; 2.2226677;0.11113338;20
18000; 1.6835841;0.08417921;20
18500; 1.8132929;0.09066464;20
19000; 1.970918;0.0985459;20
19500; 1.540164;0.0770082;20
20000; 1.960163;0.09800815;20
20500; 1.9770019;0.098850094;20
21000; 2.2813342;0.114066705;20
21500; 2.014082;0.100704096;20
22000; 1.790124;0.0895062;20
22500; 2.158458;0.1079229;20
23000; 2.892086;0.1446043;20
23500; 2.110583;0.10552915;20
24000; 2.7337499;0.13668749;20
24500; 2.331917;0.11659585;20
25000; 2.022501;0.10112505;20
25500; 2.7287889;0.13643944;20
26000; 2.016832;0.100841604;20
26500; 2.719669;0.13598345;20
27000; 2.8984597;0.14492299;20
27500; 2.5505419;0.12752709;20
28000; 1.5302502;0.07651251;20
28500; 1.687622;0.084381096;20
29000; 1.726874;0.0863437;20
29500; 1.9855431;0.09927715;20
30000; 1.323541;0.066177055;20
30500; 1.595667;0.07978335;20
31000; 1.847289;0.092364445;20
31500; 2.0540388;0.10270194;20
32000; 2.3682098;0.11841049;20
32500; 2.331295;0.11656475;20
33000; 2.3003762;0.11501881;20
33500; 2.666292;0.1333146;20
34000; 2.6035008;0.13017504;20
34500; 2.330503;0.11652515;20
35000; 2.632291;0.13161455;20
35500; 2.8781679;0.1439084;20
36000; 2.974668;0.1487334;20
36500; 3.3009572;0.16504785;20
37000; 2.827248;0.1413624;20
37500; 3.3602493;0.16801247;20
38000; 3.3441663;0.16720831;20
38500; 3.110334;0.1555167;20
39000; 3.3080852;0.16540426;20
39500; 3.9566684;0.19783342;20
40000; 4.208793;0.21043965;20
40500; 3.890001;0.19450006;20
41000; 3.7957919;0.1897896;20
41500; 3.7285006;0.18642503;20
42000; 4.618081;0.23090406;20
42500; 4.58896;0.229448;20
43000; 4.160166;0.20800829;20
43500; 5.090334;0.2545167;20
44000; 4.5462894;0.22731447;20
44500; 3.9165838;0.19582918;20
45000; 3.952623;0.19763115;20
45500; 4.048709;0.20243545;20
46000; 7.9055824;0.3952791;20
46500; 4.2431684;0.21215841;20
47000; 3.839624;0.1919812;20
47500; 4.327917;0.21639585;20
48000; 4.606793;0.23033965;20
48500; 4.847127;0.24235635;20
49000; 3.80571;0.1902855;20
49500; 8.009417;0.40047082;20
