size; duration; mean; repeats
100; 46.839417;4.683942;10
200; 88.440216;8.844022;10
300; 143.29388;14.329389;10
400; 36.61121;3.661121;10
500; 65.19708;6.519708;10
600; 30.856003;3.0856004;10
700; 36.85704;3.685704;10
800; 131.13092;13.113092;10
900; 55.93479;5.593479;10
1000; 87.63237;8.763237;10
1100; 98.73004;9.873004;10
1200; 109.00021;10.900022;10
1300; 1381.2603;138.12602;10
1400; 136.0586;13.60586;10
1500; 1217.4014;121.740135;10
1600; 223.23822;22.323822;10
1700; 1756.4141;175.6414;10
1800; 1676.6367;167.66367;10
1900; 368.57257;36.857258;10
2000; 2087.1797;208.71797;10
2100; 3266.3525;326.63525;10
2200; 1412.4038;141.24039;10
2300; 1617.4072;161.74072;10
2400; 2190.3281;219.0328;10
2500; 2292.4097;229.24097;10
2600; 2610.6436;261.06436;10
2700; 3222.5771;322.25772;10
2800; 2946.4368;294.64368;10
2900; 2810.1042;281.01044;10
