size; duration; mean; reps
100;29145.627;2914.562;10
200;81627.83;8162.783;10
300;120407.336;12040.733;10
400;29388.916;2938.891;10
500;25947.545;2594.754;10
600;23461.084;2346.108;10
700;39557.832;3955.783;10
800;44511.625;4451.162;10
900;212062.17;21206.217;10
1000;63161.96;6316.195;10
1100;78812.75;7881.275;10
1200;93663.914;9366.391;10
1300;1121585.2;112158.54;10
1400;760897.4;76089.734;10
1500;664131.9;66413.195;10
1600;771737.2;77173.72;10
1700;911855.5;91185.555;10
1800;792699.94;79269.99;10
1900;2268349.5;226834.94;10
2000;465544.72;46554.473;10
2100;2719523.0;271952.3;10
2200;1045344.0;104534.4;10
2300;1934632.1;193463.2;10
2400;2262002.8;226200.25;10
2500;578047.6;57804.76;10
2600;5128796.5;512879.7;10
2700;2707469.0;270746.9;10
2800;4104211.8;410421.16;10
2900;2682424.8;268242.47;10
