size; duration; mean; reps
500;21.457;1.072;20
1000;8.457;0.422;20
1500;10.083;0.504;20
2000;10.458;0.522;20
2500;13.877;0.693;20
3000;10.084;0.504;20
3500;17.541;0.877;20
4000;9.543;0.477;20
4500;14.626;0.731;20
5000;7.584;0.379;20
5500;19.208;0.96;20
6000;9.208;0.46;20
6500;17.874;0.893;20
7000;8.416;0.42;20
7500;15.33;0.766;20
8000;9.168;0.458;20
8500;28.795;1.439;20
9000;9.79;0.489;20
9500;4.959;0.247;20
10000;4.375;0.218;20
10500;10.667;0.533;20
11000;12.125;0.606;20
11500;8.668;0.433;20
12000;6.834;0.341;20
12500;7.585;0.379;20
13000;4.001;0.2;20
13500;7.958;0.397;20
14000;7.833;0.391;20
14500;8.752;0.437;20
15000;7.626;0.381;20
15500;8.336;0.416;20
16000;5.002;0.25;20
16500;5.167;0.258;20
17000;11.459;0.572;20
17500;8.792;0.439;20
18000;4.876;0.243;20
18500;9.249;0.462;20
19000;8.541;0.427;20
19500;8.751;0.437;20
20000;8.083;0.404;20
20500;7.834;0.391;20
21000;8.455;0.422;20
21500;12.75;0.637;20
22000;7.918;0.395;20
22500;8.668;0.433;20
23000;4.956;0.247;20
23500;8.749;0.437;20
24000;8.376;0.418;20
24500;7.914;0.395;20
25000;7.211;0.36;20
25500;7.125;0.356;20
26000;7.458;0.372;20
26500;4.956;0.247;20
27000;5.457;0.272;20
27500;5.333;0.266;20
28000;5.917;0.295;20
28500;7.958;0.397;20
29000;5.458;0.272;20
29500;5.042;0.252;20
