size; duration; mean; repeats
500; 0.08891498;0.0044457493;20
1000; 0.029250002;0.0014625001;20
1500; 0.004044;2.022E-4;20
2000; 0.048711002;0.00243555;20
2500; 0.0033740003;1.6870002E-4;20
3000; 0.021042;0.0010521;20
3500; 0.020333001;0.0010166501;20
4000; 0.039792005;0.0019896002;20
4500; 0.012958;6.4790004E-4;20
5000; 0.0050430004;2.5215003E-4;20
5500; 0.003668;1.834E-4;20
6000; 0.0039580003;1.9790002E-4;20
6500; 0.003166;1.583E-4;20
7000; 0.008334;4.1669997E-4;20
7500; 0.004791;2.3954999E-4;20
8000; 0.029792;0.0014895999;20
8500; 0.027793;0.0013896499;20
9000; 0.0023760002;1.1880001E-4;20
9500; 0.0020400002;1.02000005E-4;20
10000; 0.0045849998;2.2924998E-4;20
10500; 0.005417;2.7085E-4;20
11000; 0.00671;3.355E-4;20
11500; 0.0042930003;2.1465002E-4;20
12000; 0.0037090003;1.8545002E-4;20
12500; 0.007125;3.5625E-4;20
13000; 0.023707997;0.0011853998;20
13500; 0.001749;8.7450004E-5;20
14000; 0.0056249984;2.8124993E-4;20
14500; 0.011752;5.876E-4;20
15000; 0.012208999;6.1044993E-4;20
15500; 0.01425;7.125E-4;20
16000; 0.006296;3.148E-4;20
16500; 0.007459;3.7295002E-4;20
17000; 0.011291999;5.646E-4;20
17500; 0.0135429995;6.7715E-4;20
18000; 0.0075;3.75E-4;20
18500; 0.012041998;6.020999E-4;20
19000; 0.007122;3.561E-4;20
19500; 0.025831;0.00129155;20
20000; 0.009039;4.5194998E-4;20
20500; 0.003;1.5E-4;20
21000; 0.0019150003;9.5750016E-5;20
21500; 0.0035410002;1.7705001E-4;20
22000; 0.0049150004;2.4575E-4;20
22500; 0.004957;2.4785E-4;20
23000; 0.027206998;0.0013603499;20
23500; 0.005501;2.7505E-4;20
24000; 0.00308;1.54E-4;20
24500; 0.004419;2.2095E-4;20
25000; 0.001958;9.79E-5;20
25500; 0.0019590002;9.795001E-5;20
26000; 0.0029999998;1.4999999E-4;20
26500; 0.0027080004;1.3540001E-4;20
27000; 0.0032090002;1.6045001E-4;20
27500; 0.002375;1.18749995E-4;20
28000; 0.0015840002;7.920001E-5;20
28500; 0.003583;1.7915E-4;20
29000; 0.0038329998;1.9164999E-4;20
29500; 0.063748;0.0031874;20
30000; 0.0035429997;1.7714998E-4;20
30500; 0.003877;1.9384999E-4;20
31000; 0.004247;2.1235E-4;20
31500; 0.004543;2.2715E-4;20
32000; 0.0021650002;1.0825001E-4;20
32500; 0.005459001;2.7295004E-4;20
33000; 0.0013760001;6.880001E-5;20
33500; 0.0029189996;1.4594998E-4;20
34000; 0.010207;5.1035E-4;20
34500; 0.0026650003;1.3325001E-4;20
35000; 0.0021669997;1.0834999E-4;20
35500; 0.0024589999;1.2294999E-4;20
36000; 0.0032519996;1.6259999E-4;20
36500; 0.003958;1.979E-4;20
37000; 0.006415998;3.207999E-4;20
37500; 0.004789;2.3944999E-4;20
38000; 0.0026250002;1.3125001E-4;20
38500; 0.0030410003;1.5205002E-4;20
39000; 0.0032480003;1.6240001E-4;20
39500; 0.0027510005;1.3755003E-4;20
40000; 0.004128;2.0639999E-4;20
40500; 0.0029619997;1.4809999E-4;20
41000; 0.002504;1.252E-4;20
41500; 0.008667001;4.3335004E-4;20
42000; 0.0040840004;2.0420001E-4;20
42500; 0.0020380002;1.01900005E-4;20
43000; 0.013832999;6.9164997E-4;20
43500; 0.0055830004;2.7915003E-4;20
44000; 0.001915;9.575E-5;20
44500; 0.0014569999;7.2849994E-5;20
45000; 0.0049590003;2.4795003E-4;20
45500; 0.0034580003;1.729E-4;20
46000; 0.0011639999;5.8199996E-5;20
46500; 0.0053330003;2.6665002E-4;20
47000; 0.0034580003;1.729E-4;20
47500; 0.0041670003;2.0835001E-4;20
48000; 0.002123;1.0615001E-4;20
48500; 0.002878;1.439E-4;20
49000; 0.005083;2.5414999E-4;20
49500; 0.0030419999;1.521E-4;20
