s &	t &	l2t &	r &	l2r &	s &	l2s &	c
100 &	10.56 &	3.40 &	0.00 &	0.00 &	0.0000e+00 &	0.000 &	0.00
200 &	11.03 &	3.46 &	1.04 &	0.06 &	4.6367e-03 &	0.062 &	2.99
300 &	13.27 &	3.73 &	1.20 &	0.27 &	2.2441e-02 &	0.457 &	-0.03
400 &	18.13 &	4.18 &	1.37 &	0.45 &	4.8563e-02 &	1.084 &	-5.19
500 &	31.59 &	4.98 &	1.74 &	0.80 &	1.3464e-01 &	2.489 &	-17.34
600 &	47.49 &	5.57 &	1.50 &	0.59 &	1.5901e-01 &	2.236 &	-15.07
700 &	47.48 &	5.57 &	1.00 &	-0.00 &	-1.2718e-04 &	-0.002 &	5.59
800 &	54.91 &	5.78 &	1.16 &	0.21 &	7.4298e-02 &	1.089 &	-4.72
900 &	88.77 &	6.47 &	1.62 &	0.69 &	3.3861e-01 &	4.078 &	-33.55
1000 &	186.63 &	7.54 &	2.10 &	1.07 &	9.7858e-01 &	7.053 &	-62.74
1100 &	212.21 &	7.73 &	1.14 &	0.19 &	2.5580e-01 &	1.348 &	-5.89
1200 &	174.08 &	7.44 &	0.82 &	-0.29 &	-3.8130e-01 &	-2.276 &	30.73
1300 &	325.81 &	8.35 &	1.87 &	0.90 &	1.5173e+00 &	7.831 &	-72.65
1400 &	457.19 &	8.84 &	1.40 &	0.49 &	1.3138e+00 &	4.572 &	-38.94
1500 &	368.85 &	8.53 &	0.81 &	-0.31 &	-8.8335e-01 &	-3.112 &	41.36
1600 &	487.47 &	8.93 &	1.32 &	0.40 &	1.1862e+00 &	4.320 &	-37.06
1700 &	522.08 &	9.03 &	1.07 &	0.10 &	3.4617e-01 &	1.132 &	-3.12
1800 &	659.18 &	9.36 &	1.26 &	0.34 &	1.3709e+00 &	4.079 &	-34.75
1900 &	778.64 &	9.60 &	1.18 &	0.24 &	1.1946e+00 &	3.080 &	-23.95
2000 &	749.74 &	9.55 &	0.96 &	-0.05 &	-2.8893e-01 &	-0.737 &	17.63
2100 &	1045.74 &	10.03 &	1.39 &	0.48 &	2.9600e+00 &	6.820 &	-65.24
2200 &	1078.00 &	10.07 &	1.03 &	0.04 &	3.2257e-01 &	0.653 &	2.82
2300 &	1126.99 &	10.14 &	1.05 &	0.06 &	4.8997e-01 &	1.000 &	-1.03
2400 &	1082.08 &	10.08 &	0.96 &	-0.06 &	-4.4913e-01 &	-0.956 &	20.81
2500 &	1454.73 &	10.51 &	1.34 &	0.43 &	3.7265e+00 &	7.249 &	-71.32
2600 &	1325.95 &	10.37 &	0.91 &	-0.13 &	-1.2879e+00 &	-2.363 &	37.18
2700 &	1480.10 &	10.53 &	1.12 &	0.16 &	1.5415e+00 &	2.914 &	-22.69
2800 &	1763.34 &	10.78 &	1.19 &	0.25 &	2.8323e+00 &	4.815 &	-44.35
2900 &	1820.85 &	10.83 &	1.03 &	0.05 &	5.7517e-01 &	0.915 &	0.31
3000 &	1864.80 &	10.86 &	1.02 &	0.03 &	4.3951e-01 &	0.704 &	2.74
3100 &	1985.19 &	10.96 &	1.06 &	0.09 &	1.2039e+00 &	1.908 &	-11.17
3200 &	2222.49 &	11.12 &	1.12 &	0.16 &	2.3730e+00 &	3.556 &	-30.29
3300 &	1915.62 &	10.90 &	0.86 &	-0.21 &	-3.0687e+00 &	-4.829 &	67.34
3400 &	2629.80 &	11.36 &	1.37 &	0.46 &	7.1418e+00 &	10.614 &	-113.16
3500 &	3105.81 &	11.60 &	1.18 &	0.24 &	4.7601e+00 &	5.739 &	-55.97
3600 &	2924.62 &	11.51 &	0.94 &	-0.09 &	-1.8119e+00 &	-2.134 &	36.72
3700 &	3037.30 &	11.57 &	1.04 &	0.05 &	1.1268e+00 &	1.380 &	-4.79
3800 &	3184.97 &	11.64 &	1.05 &	0.07 &	1.4767e+00 &	1.780 &	-9.53
3900 &	3185.43 &	11.64 &	1.00 &	0.00 &	4.6650e-03 &	0.006 &	11.57
4000 &	3408.16 &	11.73 &	1.07 &	0.10 &	2.2273e+00 &	2.669 &	-20.21
4100 &	3313.73 &	11.69 &	0.97 &	-0.04 &	-9.4428e-01 &	-1.138 &	25.35
4200 &	3843.50 &	11.91 &	1.16 &	0.21 &	5.2976e+00 &	6.154 &	-62.17
4300 &	4116.19 &	12.01 &	1.07 &	0.10 &	2.7269e+00 &	2.913 &	-23.15
4400 &	4146.20 &	12.02 &	1.01 &	0.01 &	3.0011e-01 &	0.316 &	8.19
4500 &	4694.94 &	12.20 &	1.13 &	0.18 &	5.4875e+00 &	5.531 &	-54.92
4600 &	4536.94 &	12.15 &	0.97 &	-0.05 &	-1.5800e+00 &	-1.558 &	31.10
4700 &	4957.30 &	12.28 &	1.09 &	0.13 &	4.2036e+00 &	4.120 &	-37.98
4800 &	4530.70 &	12.15 &	0.91 &	-0.13 &	-4.2660e+00 &	-4.274 &	64.41
4900 &	4686.08 &	12.19 &	1.03 &	0.05 &	1.5538e+00 &	1.635 &	-7.85
average &	& 9.61 &	1.16 &	0.18 &	9.74e-01 &	1.978 &	-12.17
a (coefficient) : 0.0002176297
b (constant) : 1.9775763407

power law: 0.00021762972045339247x^1.9775763406869207
size & original & prediction & accuracy
100 & 10.5634 & 1.9628 & 5.3819
200 & 11.0270 & 7.7300 & 1.4265
300 & 13.2711 & 17.2351 & 0.7700
400 & 18.1274 & 30.4432 & 0.5954
500 & 31.5918 & 47.3301 & 0.6675
600 & 47.4930 & 67.8773 & 0.6997
700 & 47.4803 & 92.0697 & 0.5157
800 & 54.9101 & 119.8948 & 0.4580
900 & 88.7715 & 151.3416 & 0.5866
1000 & 186.6292 & 186.4006 & 1.0012
1100 & 212.2095 & 225.0632 & 0.9429
1200 & 174.0799 & 267.3217 & 0.6512
1300 & 325.8054 & 313.1691 & 1.0403
1400 & 457.1861 & 362.5990 & 1.2609
1500 & 368.8508 & 415.6054 & 0.8875
1600 & 487.4668 & 472.1827 & 1.0324
1700 & 522.0838 & 532.3259 & 0.9808
1800 & 659.1751 & 596.0300 & 1.1059
1900 & 778.6351 & 663.2905 & 1.1739
2000 & 749.7418 & 734.1030 & 1.0213
2100 & 1045.7395 & 808.4636 & 1.2935
2200 & 1077.9963 & 886.3683 & 1.2162
2300 & 1126.9935 & 967.8134 & 1.1645
2400 & 1082.0807 & 1052.7954 & 1.0278
2500 & 1454.7346 & 1141.3109 & 1.2746
2600 & 1325.9470 & 1233.3567 & 1.0751
2700 & 1480.1013 & 1328.9297 & 1.1138
2800 & 1763.3351 & 1428.0268 & 1.2348
2900 & 1820.8523 & 1530.6453 & 1.1896
3000 & 1864.8031 & 1636.7823 & 1.1393
3100 & 1985.1913 & 1746.4352 & 1.1367
3200 & 2222.4885 & 1859.6014 & 1.1951
3300 & 1915.6189 & 1976.2784 & 0.9693
3400 & 2629.7979 & 2096.4638 & 1.2544
3500 & 3105.8090 & 2220.1551 & 1.3989
3600 & 2924.6204 & 2347.3502 & 1.2459
3700 & 3037.2976 & 2478.0468 & 1.2257
3800 & 3184.9678 & 2612.2429 & 1.2192
3900 & 3185.4343 & 2749.9361 & 1.1584
4000 & 3408.1600 & 2891.1247 & 1.1788
4100 & 3313.7322 & 3035.8065 & 1.0915
4200 & 3843.4960 & 3183.9796 & 1.2071
4300 & 4116.1865 & 3335.6422 & 1.2340
4400 & 4146.1970 & 3490.7924 & 1.1878
4500 & 4694.9450 & 3649.4283 & 1.2865
4600 & 4536.9404 & 3811.5484 & 1.1903
4700 & 4957.3013 & 3977.1507 & 1.2464
4800 & 4530.7040 & 4146.2337 & 1.0927
4900 & 4686.0845 & 4318.7957 & 1.0850
size & original & prediction & accuracy
100 & 3.4010 & 0.9729 & 3.4957
200 & 3.4630 & 2.9505 & 1.1737
300 & 3.7302 & 4.1073 & 0.9082
400 & 4.1801 & 4.9280 & 0.8482
500 & 4.9815 & 5.5647 & 0.8952
600 & 5.5696 & 6.0849 & 0.9153
700 & 5.5693 & 6.5247 & 0.8536
800 & 5.7790 & 6.9056 & 0.8369
900 & 6.4720 & 7.2417 & 0.8937
1000 & 7.5440 & 7.5423 & 1.0002
1100 & 7.7293 & 7.8142 & 0.9891
1200 & 7.4436 & 8.0624 & 0.9232
1300 & 8.3479 & 8.2908 & 1.0069
1400 & 8.8366 & 8.5022 & 1.0393
1500 & 8.5269 & 8.6991 & 0.9802
1600 & 8.9292 & 8.8832 & 1.0052
1700 & 9.0281 & 9.0562 & 0.9969
1800 & 9.3645 & 9.2192 & 1.0158
1900 & 9.6048 & 9.3735 & 1.0247
2000 & 9.5503 & 9.5198 & 1.0032
2100 & 10.0303 & 9.6590 & 1.0384
2200 & 10.0741 & 9.7918 & 1.0288
2300 & 10.1383 & 9.9186 & 1.0221
2400 & 10.0796 & 10.0400 & 1.0039
2500 & 10.5065 & 10.1565 & 1.0345
2600 & 10.3728 & 10.2684 & 1.0102
2700 & 10.5315 & 10.3760 & 1.0150
2800 & 10.7841 & 10.4798 & 1.0290
2900 & 10.8304 & 10.5799 & 1.0237
3000 & 10.8648 & 10.6766 & 1.0176
3100 & 10.9551 & 10.7702 & 1.0172
3200 & 11.1180 & 10.8608 & 1.0237
3300 & 10.9036 & 10.9486 & 0.9959
3400 & 11.3607 & 11.0337 & 1.0296
3500 & 11.6008 & 11.1164 & 1.0436
3600 & 11.5140 & 11.1968 & 1.0283
3700 & 11.5686 & 11.2750 & 1.0260
3800 & 11.6371 & 11.3511 & 1.0252
3900 & 11.6373 & 11.4252 & 1.0186
4000 & 11.7348 & 11.4974 & 1.0206
4100 & 11.6942 & 11.5679 & 1.0109
4200 & 11.9082 & 11.6366 & 1.0233
4300 & 12.0071 & 11.7037 & 1.0259
4400 & 12.0176 & 11.7693 & 1.0211
4500 & 12.1969 & 11.8335 & 1.0307
4600 & 12.1475 & 11.8962 & 1.0211
4700 & 12.2753 & 11.9575 & 1.0266
4800 & 12.1455 & 12.0176 & 1.0106
4900 & 12.1942 & 12.0764 & 1.0098
