size;duration;mean;reps
0;0;0;50
10;0;0;50
20;0;0;50
30;0;0;50
40;3;0.06;50
50;1;0.02;50
60;0;0;50
70;11;0.22;50
80;45;0.9;50
90;62;1.24;50
100;78;1.56;50
110;99;1.98;50
120;114;2.28;50
130;262;5.24;50
140;187;3.74;50
150;258;5.16;50
160;274;5.48;50
170;335;6.7;50
180;375;7.5;50
190;419;8.38;50
200;531;10.62;50
210;672;13.44;50
220;712;14.24;50
230;852;17.04;50
240;976;19.52;50
250;1077;21.54;50
260;1241;24.82;50
270;1344;26.88;50
280;1448;28.96;50
290;1629;32.58;50
300;1759;35.18;50
310;2073;41.46;50
320;2241;44.82;50
330;2468;49.36;50
340;2687;53.74;50
350;2943;58.86;50
360;3080;61.6;50
370;3339;66.78;50
380;3577;71.54;50
390;4001;80.02;50
400;4310;86.2;50
410;4717;94.34;50
420;4997;99.94;50
430;5378;107.56;50
440;5657;113.14;50
450;6062;121.24;50
460;6417;128.34;50
470;7134;142.68;50
480;7399;147.98;50
490;10428;208.56;50
500;8941;178.82;50
510;9449;188.98;50
520;9809;196.18;50
530;10229;204.58;50
540;11257;225.14;50
550;12244;244.88;50
560;12620;252.4;50
570;14580;291.6;50
580;14421;288.42;50
590;15090;301.8;50
600;15565;311.3;50
610;15650;313;50
620;17501;350.02;50
630;17569;351.38;50
640;20951;419.02;50
650;20392;407.84;50
660;21742;434.84;50
670;20851;417.02;50
680;22055;441.1;50
690;22792;455.84;50
