size;duration;mean;reps
0;0;0;20
1000;54;2.7;20
2000;58;2.9;20
3000;80;4;20
4000;109;5.45;20
5000;132;6.6;20
6000;171;8.55;20
7000;189;9.45;20
8000;212;10.6;20
9000;246;12.3;20
10000;268;13.4;20
11000;310;15.5;20
12000;317;15.85;20
13000;371;18.55;20
14000;371;18.55;20
15000;419;20.95;20
16000;420;21;20
17000;489;24.45;20
18000;505;25.25;20
19000;549;27.45;20
20000;552;27.6;20
21000;571;28.55;20
22000;609;30.45;20
23000;638;31.9;20
24000;670;33.5;20
25000;696;34.8;20
26000;725;36.25;20
27000;738;36.9;20
28000;791;39.55;20
29000;790;39.5;20
30000;851;42.55;20
31000;863;43.15;20
32000;924;46.2;20
33000;900;45;20
34000;955;47.75;20
35000;968;48.4;20
36000;1029;51.45;20
37000;1083;54.15;20
38000;1084;54.2;20
39000;1111;55.55;20
40000;1106;55.3;20
41000;1178;58.9;20
42000;1171;58.55;20
43000;1234;61.7;20
44000;1248;62.4;20
45000;1310;65.5;20
46000;1322;66.1;20
47000;1336;66.8;20
48000;1375;68.75;20
49000;1405;70.25;20
