size;duration;mean;reps
0;0;0;20
1000;27;1.35;20
size;duration;mean;reps
0;0;0;20
1000;20;1;20
2000;32;1.6;20
3000;42;2.1;20
4000;55;2.75;20
5000;70;3.5;20
6000;83;4.15;20
7000;99;4.95;20
8000;114;5.7;20
9000;133;6.65;20
10000;141;7.05;20
11000;163;8.15;20
12000;168;8.4;20
13000;185;9.25;20
14000;209;10.45;20
15000;220;11;20
16000;229;11.45;20
17000;239;11.95;20
18000;274;13.7;20
19000;286;14.3;20
20000;306;15.3;20
21000;310;15.5;20
22000;346;17.3;20
23000;365;18.25;20
24000;378;18.9;20
25000;395;19.75;20
26000;463;23.15;20
27000;553;27.65;20
28000;433;21.65;20
29000;451;22.55;20
30000;464;23.2;20
31000;464;23.2;20
32000;488;24.4;20
33000;500;25;20
34000;520;26;20
35000;534;26.7;20
36000;584;29.2;20
37000;582;29.1;20
38000;593;29.65;20
39000;611;30.55;20
40000;651;32.55;20
41000;640;32;20
42000;670;33.5;20
43000;677;33.85;20
44000;729;36.45;20
45000;725;36.25;20
46000;738;36.9;20
47000;769;38.45;20
48000;759;37.95;20
49000;771;38.55;20
50000;798;39.9;20
51000;797;39.85;20
52000;825;41.25;20
53000;833;41.65;20
54000;846;42.3;20
55000;869;43.45;20
56000;911;45.55;20
57000;898;44.9;20
58000;915;45.75;20
59000;923;46.15;20
60000;949;47.45;20
61000;962;48.1;20
62000;991;49.55;20
63000;994;49.7;20
64000;992;49.6;20
65000;1018;50.9;20
66000;1053;52.65;20
67000;1064;53.2;20
68000;1082;54.1;20
69000;1114;55.7;20
70000;1092;54.6;20
71000;1172;58.6;20
72000;1223;61.15;20
73000;1223;61.15;20
74000;1261;63.05;20
75000;1280;64;20
76000;1246;62.3;20
77000;1238;61.9;20
78000;1264;63.2;20
79000;1311;65.55;20
80000;1302;65.1;20
81000;1319;65.95;20
82000;1342;67.1;20
83000;1380;69;20
84000;1387;69.35;20
85000;1391;69.55;20
86000;1409;70.45;20
87000;1383;69.15;20
88000;1453;72.65;20
89000;1432;71.6;20
90000;1463;73.15;20
91000;1465;73.25;20
92000;1542;77.1;20
93000;1547;77.35;20
94000;1547;77.35;20
95000;1582;79.1;20
96000;1552;77.6;20
97000;1558;77.9;20
98000;1583;79.15;20
99000;1597;79.85;20
100000;1645;82.25;20
101000;1641;82.05;20
102000;1646;82.3;20
103000;1673;83.65;20
104000;1654;82.7;20
105000;1700;85;20
106000;1681;84.05;20
107000;1695;84.75;20
108000;1740;87;20
109000;1754;87.7;20
110000;1783;89.15;20
111000;1796;89.8;20
112000;1828;91.4;20
113000;1815;90.75;20
114000;1804;90.2;20
115000;1831;91.55;20
116000;1849;92.45;20
117000;1886;94.3;20
118000;1872;93.6;20
119000;1889;94.45;20
120000;1928;96.4;20
121000;1949;97.45;20
122000;1990;99.5;20
123000;2015;100.75;20
124000;2011;100.55;20
125000;1976;98.8;20
126000;2004;100.2;20
127000;2058;102.9;20
128000;2085;104.25;20
129000;2048;102.4;20
130000;2056;102.8;20
131000;2060;103;20
132000;2116;105.8;20
133000;2127;106.35;20
134000;2128;106.4;20
135000;2155;107.75;20
136000;2148;107.4;20
137000;2177;108.85;20
138000;2187;109.35;20
139000;2213;110.65;20
140000;2222;111.1;20
141000;2697;134.85;20
142000;2652;132.6;20
143000;2391;119.55;20
144000;2399;119.95;20
145000;2425;121.25;20
146000;2446;122.3;20
147000;2435;121.75;20
148000;2474;123.7;20
149000;2474;123.7;20
150000;2497;124.85;20
151000;2516;125.8;20
152000;2524;126.2;20
153000;2559;127.95;20
154000;2567;128.35;20
155000;2595;129.75;20
156000;2589;129.45;20
157000;2642;132.1;20
158000;2638;131.9;20
159000;2641;132.05;20
160000;2649;132.45;20
161000;2676;133.8;20
162000;2701;135.05;20
163000;2717;135.85;20
164000;2925;146.25;20
165000;2835;141.75;20
166000;3310;165.5;20
167000;2804;140.2;20
168000;2789;139.45;20
169000;2814;140.7;20
170000;2824;141.2;20
171000;2842;142.1;20
172000;2860;143;20
173000;2870;143.5;20
174000;2898;144.9;20
175000;2926;146.3;20
176000;2898;144.9;20
177000;2920;146;20
178000;2918;145.9;20
179000;2967;148.35;20
180000;2966;148.3;20
181000;2992;149.6;20
182000;3025;151.25;20
183000;3000;150;20
184000;3016;150.8;20
185000;3013;150.65;20
186000;3265;163.25;20
187000;3090;154.5;20
188000;3047;152.35;20
189000;3092;154.6;20
190000;3074;153.7;20
191000;3089;154.45;20
192000;3131;156.55;20
193000;3149;157.45;20
194000;3145;157.25;20
195000;3409;170.45;20
196000;3211;160.55;20
197000;3186;159.3;20
198000;3185;159.25;20
199000;3255;162.75;20
