size;duration;mean;reps
0;0;0;20
1000;186;9.3;20
2000;343;17.15;20
3000;569;28.45;20
4000;770;38.5;20
5000;977;48.85;20
6000;1152;57.6;20
7000;1375;68.75;20
8000;1578;78.9;20
9000;1762;88.1;20
10000;1945;97.25;20
11000;2187;109.35;20
12000;2357;117.85;20
13000;2547;127.35;20
14000;2730;136.5;20
15000;3084;154.2;20
size;duration;mean;reps
0;0;0;20
1000;0;0;20
2000;0;0;20
3000;0;0;20
4000;0;0;20
5000;0;0;20
6000;0;0;20
7000;0;0;20
8000;0;0;20
9000;0;0;20
10000;0;0;20
11000;0;0;20
12000;0;0;20
13000;0;0;20
14000;0;0;20
15000;0;0;20
16000;0;0;20
17000;0;0;20
18000;0;0;20
19000;0;0;20
20000;0;0;20
21000;0;0;20
22000;0;0;20
23000;0;0;20
24000;0;0;20
25000;0;0;20
26000;0;0;20
27000;0;0;20
28000;0;0;20
29000;0;0;20
30000;0;0;20
31000;0;0;20
32000;0;0;20
33000;0;0;20
34000;0;0;20
35000;0;0;20
36000;0;0;20
37000;0;0;20
38000;0;0;20
39000;0;0;20
40000;0;0;20
41000;0;0;20
42000;0;0;20
43000;0;0;20
44000;0;0;20
45000;0;0;20
46000;0;0;20
47000;0;0;20
48000;0;0;20
49000;0;0;20
size;duration;mean;reps
0;0;0;20
1000;320;16;20
2000;1179;58.95;20
3000;2378;118.9;20
4000;5156;257.8;20
size;duration;mean;reps
0;0;0;20
1000;305;15.25;20
2000;1190;59.5;20
3000;2391;119.55;20
4000;5128;256.4;20
5000;7491;374.55;20
6000;10495;524.75;20
7000;14713;735.65;20
8000;20305;1015.25;20
9000;28637;1431.85;20
