Size; Duration;Mean;Median;Min;Max
0;83.249501; 0.832495; 0.524791; 2.577625; 3.553969
1;53.904206; 0.539042; 0.522208; 0.678541; 0.190252
2;52.497958; 0.524979; 0.511083; 0.695500; 0.228972
3;47.385757; 0.473857; 0.445417; 0.633083; 0.329623
4;47.904498; 0.479044; 0.414500; 0.624959; 0.435944
5;46.518587; 0.465185; 0.371750; 0.611625; 0.611576
6;36.430001; 0.364300; 0.296417; 0.594708; 0.690307
7;30.536494; 0.305364; 0.255416; 0.585292; 0.683223
8;36.326133; 0.363261; 0.257125; 1.183084; 1.039663
9;28.130289; 0.281302; 0.222041; 0.584333; 0.841857
10;27.895880; 0.278958; 0.201375; 0.512709; 0.824194
11;31.898957; 0.318989; 0.210167; 0.553167; 0.839445
12;32.839707; 0.328397; 0.230500; 0.558833; 0.846847
13;35.182296; 0.351822; 0.285250; 0.542750; 0.639588
14;36.777580; 0.367775; 0.255875; 0.535333; 0.655340
15;35.048788; 0.350487; 0.258625; 0.536416; 0.757381
16;32.479503; 0.324795; 0.228875; 0.518917; 0.826205
17;36.235083; 0.362350; 0.248166; 0.521833; 0.736266
18;36.476501; 0.364765; 0.249292; 0.503209; 0.673571
19;35.493165; 0.354931; 0.256042; 0.510292; 0.708109
20;34.133045; 0.341330; 0.254875; 0.493209; 0.576601
21;37.110955; 0.371109; 0.232625; 0.517125; 0.695117
22;33.500799; 0.335007; 0.246042; 0.495292; 0.694206
23;35.443419; 0.354434; 0.241084; 0.543584; 0.653624
24;34.273538; 0.342735; 0.255083; 0.505416; 0.621938
25;34.891630; 0.348916; 0.262916; 0.487000; 0.632987
26;35.468746; 0.354687; 0.268167; 0.483709; 0.649986
27;36.669459; 0.366694; 0.250542; 0.488834; 0.613043
28;36.753079; 0.367530; 0.236041; 0.518125; 0.586888
29;35.566421; 0.355664; 0.254375; 0.519750; 0.611346
30;34.717708; 0.347177; 0.270041; 0.491541; 0.540983
31;36.015959; 0.360159; 0.249625; 0.485958; 0.567032
32;35.762125; 0.357621; 0.250458; 0.496250; 0.565647
33;34.838124; 0.348381; 0.269542; 0.479042; 0.503350
34;35.338581; 0.353385; 0.271958; 0.470125; 0.515687
35;36.736368; 0.367363; 0.252000; 0.490083; 0.651599
36;33.485373; 0.334853; 0.259417; 0.556084; 0.618957
37;36.037373; 0.360373; 0.289958; 0.524250; 0.466567
38;36.188210; 0.361882; 0.290208; 0.509792; 0.505842
39;34.780458; 0.347804; 0.289458; 0.503542; 0.483670
40;35.832002; 0.358320; 0.267958; 0.489000; 0.534282
41;34.720247; 0.347202; 0.266250; 0.550834; 0.536331
42;35.552878; 0.355528; 0.295250; 0.499042; 0.439078
43;35.828251; 0.358282; 0.291917; 0.498000; 0.455883
44;36.076123; 0.360761; 0.268042; 0.499166; 0.455127
45;37.757706; 0.377577; 0.283250; 1.159042; 0.860178
46;35.178336; 0.351783; 0.291750; 0.481542; 0.420172
47;34.562418; 0.345624; 0.289042; 0.477000; 0.428614
48;36.956130; 0.369561; 0.263958; 0.488958; 0.450384
49;35.349086; 0.353490; 0.304625; 0.501917; 0.388534
50;35.916711; 0.359167; 0.310875; 0.481875; 0.343786
51;35.966664; 0.359666; 0.307375; 0.497709; 0.387493
52;35.593047; 0.355930; 0.298334; 0.479792; 0.395502
53;36.210583; 0.362105; 0.316209; 0.477083; 0.326164
54;36.577670; 0.365776; 0.314833; 0.488625; 0.386140
55;36.234586; 0.362345; 0.282792; 0.496000; 0.420921
56;35.251704; 0.352517; 0.311708; 0.480458; 0.354754
57;35.751793; 0.357517; 0.311750; 0.484208; 0.382431
58;35.646040; 0.356460; 0.314708; 0.468875; 0.322471
59;35.871166; 0.358711; 0.323834; 0.464042; 0.314831
60;35.162500; 0.351625; 0.280291; 0.483500; 0.415393
61;36.126835; 0.361268; 0.321458; 0.466167; 0.294731
62;35.484461; 0.354844; 0.303792; 0.459042; 0.349182
63;35.363000; 0.353630; 0.306042; 0.473958; 0.362810
64;36.418541; 0.364185; 0.312417; 0.469917; 0.292063
65;35.843626; 0.358436; 0.303041; 0.469792; 0.346976
66;35.899414; 0.358994; 0.320292; 0.478417; 0.303781
67;36.844587; 0.368445; 0.311083; 0.474625; 0.326876
68;35.839415; 0.358394; 0.318250; 0.477458; 0.323848
69;35.603832; 0.356038; 0.314208; 0.470083; 0.335069
70;36.861131; 0.368611; 0.333125; 0.464833; 0.263963
71;35.935834; 0.359358; 0.319292; 0.478708; 0.317549
72;35.835040; 0.358350; 0.321209; 0.482083; 0.319473
73;35.650337; 0.356503; 0.306084; 0.483000; 0.412054
74;35.262747; 0.352627; 0.303292; 0.500209; 0.373733
75;35.112212; 0.351122; 0.315625; 0.491833; 0.358763
76;36.039002; 0.360390; 0.304250; 0.485500; 0.375555
77;35.696163; 0.356961; 0.318000; 0.468542; 0.318793
78;35.694831; 0.356948; 0.318750; 0.484375; 0.331894
79;36.097786; 0.360977; 0.313333; 0.494375; 0.382084
80;35.828664; 0.358286; 0.319000; 0.482708; 0.319430
81;37.054332; 0.370543; 0.311875; 0.486250; 0.306897
82;36.555787; 0.365557; 0.330833; 0.497000; 0.316737
83;37.347413; 0.373474; 0.310209; 0.564250; 0.494088
84;37.940088; 0.379400; 0.327667; 0.592209; 0.469684
85;37.579746; 0.375797; 0.334083; 0.494542; 0.342023
86;36.460328; 0.364603; 0.324375; 0.471875; 0.322111
87;36.216748; 0.362167; 0.317125; 0.488792; 0.367471
88;36.957742; 0.369577; 0.315833; 0.485792; 0.330948
89;38.286164; 0.382861; 0.328583; 0.661667; 0.477075
90;41.956877; 0.419568; 0.338250; 1.062583; 1.096046
91;37.137547; 0.371375; 0.308209; 0.652750; 0.551817
92;37.586080; 0.375860; 0.308542; 1.091416; 0.867321
93;36.817632; 0.368176; 0.327167; 0.474542; 0.293345
