Size;Result;Duration;Mean;Median;Min;Max
0;0;706.935497; 7.069354; 6.971125; 10.744250; 3.787180
1;1;695.756414; 6.957564; 6.876875; 10.451625; 3.603247
2;2;591.785461; 5.917854; 5.798333; 9.161833; 3.441800
3;3;615.096793; 6.150967; 6.035416; 9.300167; 3.300489
4;4;602.801916; 6.028019; 5.829208; 8.548917; 2.777184
5;5;629.965084; 6.299650; 6.084875; 8.532667; 2.526978
6;6;598.411290; 5.984112; 5.793291; 8.458875; 2.795796
7;7;611.590127; 6.115901; 5.860709; 8.521250; 3.007445
8;8;563.442461; 5.634424; 4.680166; 8.038250; 3.468473
9;9;526.503326; 5.265033; 4.681333; 8.074125; 5.230248
10;10;513.329331; 5.133293; 4.092875; 7.747958; 5.244296
11;11;500.370253; 5.003702; 3.867334; 7.773708; 7.063135
12;12;431.197250; 4.311972; 3.648708; 7.234125; 7.833828
13;13;447.023332; 4.470233; 3.424333; 7.392917; 9.605130
14;14;508.619127; 5.086191; 3.564041; 7.309334; 6.630157
15;15;462.058754; 4.620587; 3.489375; 7.339333; 8.907448
16;16;449.611418; 4.496114; 3.481792; 7.189750; 8.365568
17;17;489.562001; 4.895620; 3.437042; 7.284500; 8.414520
18;18;482.616751; 4.826167; 3.536041; 7.036708; 8.025737
19;19;485.911034; 4.859110; 3.045417; 7.128625; 9.185939
20;20;477.982833; 4.779828; 2.886417; 6.786875; 8.701859
21;21;489.742121; 4.897421; 3.392209; 7.073875; 9.157987
22;22;478.499578; 4.784995; 3.482167; 6.988042; 9.921537
23;23;492.840460; 4.928404; 3.424417; 6.952333; 8.953844
24;24;486.213253; 4.862132; 3.566541; 6.766375; 8.726749
25;25;526.465671; 5.264656; 2.844292; 6.806666; 8.753664
26;26;476.075833; 4.760758; 3.103500; 6.619750; 9.492785
27;27;532.970794; 5.329707; 3.234041; 6.628125; 8.393886
28;28;491.734117; 4.917341; 3.296166; 6.783666; 9.109291
29;29;512.455502; 5.124555; 3.359958; 6.605083; 7.988611
30;30;514.246962; 5.142469; 3.312750; 6.786833; 8.908742
31;31;514.922541; 5.149225; 3.151709; 6.746792; 8.575206
32;32;519.055502; 5.190555; 2.909208; 6.652750; 8.786073
33;33;524.405629; 5.244056; 3.330625; 7.049708; 8.375573
34;34;520.702333; 5.207023; 3.413958; 6.490125; 7.455855
35;35;529.631505; 5.296315; 3.285167; 6.681125; 7.800584
36;36;514.636038; 5.146360; 3.243500; 6.695584; 7.774224
37;37;513.198250; 5.131982; 3.059500; 6.795542; 8.078734
38;38;512.714125; 5.127141; 3.307833; 6.552417; 8.062092
39;39;525.877954; 5.258779; 3.183917; 6.837709; 7.881774
40;40;521.187049; 5.211870; 3.307292; 6.913583; 7.439057
41;41;528.425747; 5.284257; 3.373500; 6.622375; 7.814693
42;42;532.017418; 5.320174; 3.307500; 6.611459; 7.887283
43;43;536.363456; 5.363634; 3.418833; 6.777417; 7.410897
44;44;525.113040; 5.251130; 3.122459; 6.904000; 8.358822
45;45;537.730203; 5.377302; 3.580292; 6.817917; 7.341235
46;46;530.813583; 5.308135; 3.326625; 6.688958; 7.529864
47;47;550.347378; 5.503473; 3.137250; 7.070041; 8.901665
48;48;534.382043; 5.343820; 2.838458; 6.794625; 8.184922
49;49;534.565544; 5.345655; 3.525708; 6.496167; 7.423515
