Size; Duration;Mean;Median;Min;Max
0;75.732037; 0.757320; 0.019459; 66.785500; 66.379381
1;37.034581; 0.370345; 0.042208; 22.229750; 22.964374
2;34.369827; 0.343698; 0.035208; 16.742375; 21.024686
3;29.505289; 0.295052; 0.026625; 10.773208; 12.651056
4;20.630663; 0.206306; 0.031208; 5.316250; 8.223005
5;19.255751; 0.192557; 0.038209; 4.119292; 6.587858
6;19.849793; 0.198497; 0.038041; 7.430833; 8.210575
7;15.980919; 0.159809; 0.054041; 1.514792; 2.962171
8;20.104493; 0.201044; 0.066584; 4.304083; 4.985242
9;17.250705; 0.172507; 0.073792; 2.897250; 3.470472
10;16.724747; 0.167247; 0.088542; 1.560708; 2.066102
11;19.728753; 0.197287; 0.129917; 1.288917; 1.535196
12;20.737584; 0.207375; 0.142209; 0.603625; 0.970356
13;20.949501; 0.209495; 0.148667; 0.853417; 1.114016
14;24.639125; 0.246391; 0.160708; 0.464916; 0.666634
15;22.254998; 0.222549; 0.163167; 0.471167; 0.694343
16;24.385334; 0.243853; 0.183166; 0.438417; 0.611457
17;24.707540; 0.247075; 0.196083; 0.405917; 0.581428
18;25.861417; 0.258614; 0.195584; 0.405334; 0.594058
19;25.730751; 0.257307; 0.176125; 0.754125; 0.958710
20;26.420414; 0.264204; 0.201125; 0.683417; 0.685724
21;26.010214; 0.260102; 0.197584; 0.594916; 0.661130
22;26.706414; 0.267064; 0.201042; 0.551083; 0.627069
23;26.583090; 0.265830; 0.203875; 0.560292; 0.612286
24;27.176954; 0.271769; 0.207958; 0.402917; 0.534787
25;27.652956; 0.276529; 0.214958; 0.510375; 0.502498
26;27.425122; 0.274251; 0.214583; 0.440750; 0.545379
27;28.570578; 0.285705; 0.195708; 0.653792; 0.618061
28;28.865583; 0.288655; 0.207792; 0.411666; 0.500569
29;27.877837; 0.278778; 0.217333; 0.397000; 0.497254
30;28.240247; 0.282402; 0.213667; 0.425125; 0.533685
31;28.506587; 0.285065; 0.207417; 0.463000; 0.505106
32;29.463460; 0.294634; 0.220833; 0.447666; 0.434521
33;29.786911; 0.297869; 0.205833; 0.396875; 0.456587
34;28.892417; 0.288924; 0.219667; 0.443292; 0.455667
35;29.156502; 0.291565; 0.219000; 0.497291; 0.478370
36;29.512046; 0.295120; 0.226542; 0.462875; 0.461492
37;28.988792; 0.289887; 0.220500; 0.398917; 0.437183
38;29.224076; 0.292240; 0.235958; 0.514042; 0.502271
39;29.663833; 0.296638; 0.215208; 0.765417; 0.679367
40;30.147873; 0.301478; 0.214000; 0.433542; 0.475158
41;29.447666; 0.294476; 0.238667; 0.544292; 0.444953
42;30.029869; 0.300298; 0.224250; 0.707875; 0.674427
43;30.064291; 0.300642; 0.227291; 0.454041; 0.452705
44;30.369336; 0.303693; 0.233709; 0.548750; 0.466129
45;30.600127; 0.306001; 0.224916; 0.531292; 0.440144
46;29.704502; 0.297045; 0.217250; 0.543916; 0.514248
47;29.538162; 0.295381; 0.220584; 0.440458; 0.458914
48;30.066545; 0.300665; 0.251292; 0.404417; 0.339263
49;30.544206; 0.305442; 0.245625; 0.465958; 0.410943
50;29.737707; 0.297377; 0.242125; 0.474917; 0.434989
51;29.743249; 0.297432; 0.243583; 0.596250; 0.523858
52;29.690032; 0.296900; 0.253208; 0.487292; 0.367654
