Size;Result;Duration;Mean;Median;Min;Max
0;0;7030.989005; 70.309890; 0.498667; 6981.061208; 6945.566406
1;1;6415.169119; 64.151691; 0.805542; 4423.238083; 4670.306534
2;2;4378.103957; 43.781039; 0.712208; 2107.555209; 2677.167260
3;3;5029.000622; 50.290006; 0.862375; 2329.857875; 3036.645373
4;4;2918.069123; 29.180691; 0.805833; 1132.951167; 1505.121671
5;5;2368.670298; 23.686702; 0.892334; 782.774750; 1110.215060
6;6;1901.526382; 19.015263; 0.924084; 544.682917; 852.669403
7;7;2077.146247; 20.771462; 1.135000; 1001.124125; 1083.408421
8;8;1110.179047; 11.101790; 1.038417; 266.365209; 383.945149
9;9;1113.309331; 11.133093; 1.323709; 439.753125; 476.375146
10;10;850.118207; 8.501182; 1.343042; 192.947916; 284.510153
11;11;899.327789; 8.993277; 1.489125; 202.068500; 302.689444
12;12;685.528500; 6.855285; 1.572708; 195.475958; 223.056151
13;13;916.194999; 9.161949; 1.824250; 292.474709; 341.937255
14;14;691.351674; 6.913516; 1.982917; 129.189542; 179.306464
15;15;690.686542; 6.906865; 2.359292; 213.104583; 219.123659
16;16;572.151246; 5.721512; 2.155541; 91.112042; 102.490103
17;17;570.677538; 5.706775; 2.857291; 50.430375; 74.347782
18;18;502.358124; 5.023581; 2.364666; 36.908875; 52.370080
19;19;537.252538; 5.372525; 2.616833; 31.304208; 45.518863
20;20;572.420252; 5.724202; 2.807542; 56.594208; 70.239305
21;21;531.267541; 5.312675; 2.719042; 22.557333; 33.291736
22;22;560.727500; 5.607275; 2.644333; 27.525000; 41.531232
23;23;534.946788; 5.349467; 2.738958; 17.291750; 25.364405
24;24;531.966840; 5.319668; 2.503292; 17.419542; 26.899001
25;25;543.544710; 5.435447; 3.170750; 24.986625; 30.699591
26;26;564.806787; 5.648067; 3.332667; 21.695375; 32.288884
27;27;561.843413; 5.618434; 3.150084; 20.618167; 28.256424
28;28;561.110045; 5.611100; 3.098041; 40.085083; 41.669081
29;29;578.519206; 5.785192; 3.431833; 40.120167; 39.683651
30;30;563.600168; 5.636001; 3.336667; 25.427666; 26.175177
31;31;569.059576; 5.690595; 3.226208; 20.734000; 25.038841
32;32;563.291712; 5.632917; 3.089167; 15.791875; 21.735382
33;33;593.700539; 5.937005; 3.215708; 30.537416; 34.522293
34;34;602.812419; 6.028124; 3.372334; 24.474291; 31.786073
35;35;593.229456; 5.932294; 3.448500; 39.802292; 40.942808
36;36;623.516827; 6.235168; 3.264209; 40.284458; 47.028881
37;37;576.151380; 5.761513; 3.281584; 18.092958; 18.745182
38;38;587.001951; 5.870019; 3.066666; 19.178625; 25.465726
39;39;603.362956; 6.033629; 3.438375; 14.848416; 19.446602
40;40;586.192413; 5.861924; 3.085375; 12.162666; 15.462030
41;41;605.951503; 6.059515; 2.657417; 22.237750; 33.259774
42;42;598.932210; 5.989322; 3.316292; 22.132125; 24.902834
43;43;590.957540; 5.909575; 3.302041; 16.455334; 16.782865
44;44;584.968494; 5.849684; 3.824375; 15.899250; 16.542926
45;45;590.956538; 5.909565; 3.748125; 18.468083; 18.826492
46;46;608.480963; 6.084809; 3.557458; 21.340458; 23.343543
47;47;591.941538; 5.919415; 3.791917; 11.543834; 14.041981
48;48;594.360285; 5.943602; 3.123250; 15.515208; 18.672780
49;49;614.936210; 6.149362; 3.396791; 25.671875; 27.570680
