Size; Duration;Mean;Median;Min;Max
1000;19.223627;0.192236;0.128792;1.452250;2.062125
2000;26.377540;0.263775;0.074292;1.146916;0.995034
3000;11.483788;0.114837;0.098791;0.402833;0.327992
4000;17.998214;0.179982;0.119625;1.156583;1.147499
5000;39.579877;0.395798;0.158208;7.531500;9.181311
6000;27.507083;0.275070;0.186208;3.032167;2.874019
7000;28.827126;0.288271;0.212333;1.074875;1.030060
8000;25.138411;0.251384;0.235959;0.572250;0.347375
9000;33.665376;0.336653;0.286833;0.865458;0.713039
10000;33.371668;0.333716;0.315334;0.721125;0.399319
11000;37.420252;0.374202;0.344208;0.949542;0.743312
12000;40.141547;0.401415;0.377833;0.925959;0.564065
13000;44.749295;0.447492;0.408750;1.016458;0.857561
14000;47.416002;0.474160;0.438959;1.079417;0.854743
15000;50.769669;0.507696;0.464042;1.164917;0.914835
16000;53.807414;0.538074;0.503125;1.260041;0.938149
17000;62.303503;0.623035;0.577500;1.400167;1.074886
18000;66.153788;0.661537;0.592667;1.486500;1.185233
19000;68.760622;0.687606;0.642292;1.503500;1.042407
20000;71.027589;0.710275;0.657375;1.561792;1.047517
21000;75.445082;0.754450;0.705875;1.663833;1.189595
22000;77.867546;0.778675;0.734917;1.701458;1.226363
23000;81.562083;0.815620;0.757750;1.804875;1.140118
24000;84.923785;0.849237;0.793625;1.929791;1.200243
25000;93.263620;0.932636;0.842583;2.171500;1.496006
26000;93.283999;0.932839;0.874500;2.072083;1.322358
27000;95.566123;0.955661;0.899458;2.158209;1.325176
28000;98.307575;0.983075;0.928625;2.338166;1.428187
29000;101.557702;1.015577;0.970708;2.292292;1.415818
30000;105.146126;1.051461;0.994167;2.442125;1.516237
31000;108.435214;1.084352;1.019583;2.432000;1.470658
32000;111.223706;1.112237;1.065125;2.544709;1.562361
33000;123.721740;1.237217;1.188875;2.765834;1.617136
34000;126.879832;1.268798;1.210292;2.799834;1.632479
35000;131.210087;1.312100;1.244334;2.889000;1.707008
36000;133.033828;1.330338;1.266209;2.926375;1.719123
37000;139.163625;1.391636;1.319083;3.013125;1.853606
38000;146.047044;1.460470;1.350125;3.092125;2.305126
39000;186.975625;1.869756;1.385542;21.157000;23.680492
40000;149.131752;1.491317;1.422125;3.267917;1.910671
41000;151.930625;1.519306;1.451375;3.833959;2.397804
42000;160.649083;1.606490;1.493542;3.610459;2.285270
43000;160.528995;1.605289;1.502958;3.619709;2.219055
44000;162.565297;1.625652;1.556500;3.696125;2.173491
45000;165.529709;1.655297;1.580666;3.722541;2.173869
46000;171.480497;1.714804;1.599084;3.907458;2.522947
47000;174.852163;1.748521;1.645041;5.074709;3.463162
48000;177.018670;1.770186;1.686208;3.971333;2.416333
49000;180.144868;1.801448;1.712375;4.053208;2.382575
50000;185.846331;1.858463;1.770875;4.235500;2.498767
51000;205.835621;2.058356;1.805125;8.694458;9.101704
52000;192.567795;1.925677;1.840250;4.639541;2.814793
53000;195.248878;1.952488;1.875792;4.417833;2.562309
54000;199.605877;1.996058;1.896542;4.506250;2.657955
55000;201.942168;2.019421;1.934958;4.587625;2.710654
56000;206.190920;2.061909;1.965917;4.740167;2.821081
57000;212.074170;2.120741;2.015917;4.770208;2.813257
58000;213.538080;2.135380;2.051708;4.855250;2.831019
59000;219.353414;2.193534;2.085667;4.944292;2.938007
60000;231.966248;2.319662;2.105833;7.364167;6.084507
61000;226.142832;2.261428;2.122708;5.221458;3.385864
62000;230.805338;2.308053;2.180459;5.150917;3.051690
63000;231.943037;2.319430;2.216875;5.355583;3.154528
64000;233.389955;2.333899;2.228375;5.413708;3.179751
65000;237.552085;2.375520;2.277917;5.403875;3.165949
66000;258.635000;2.586350;2.472083;5.780042;3.296698
67000;264.975830;2.649758;2.527208;5.822750;3.431037
68000;266.811042;2.668110;2.528542;5.884416;3.380740
69000;269.692877;2.696928;2.580667;6.097458;3.541505
70000;273.614830;2.736148;2.623500;6.112792;3.518588
71000;275.571211;2.755712;2.662292;6.068875;3.408352
72000;279.891796;2.798917;2.646083;6.224458;3.547949
73000;283.789127;2.837891;2.721125;6.308542;3.597337
74000;290.794956;2.907949;2.778791;6.283125;3.588609
75000;322.120621;3.221206;2.826334;12.209583;12.624719
76000;301.917579;3.019175;2.843666;6.613459;3.858237
77000;302.341002;3.023410;2.876875;6.696042;3.877222
78000;304.025495;3.040254;2.923625;6.764584;3.927968
79000;307.147293;3.071472;2.916458;6.870334;3.934843
80000;309.721668;3.097216;2.957125;6.975750;4.015284
81000;315.667915;3.156679;3.016791;6.875917;4.682073
82000;319.220291;3.192202;3.085792;7.179000;4.107378
83000;322.558620;3.225586;3.071542;7.234500;4.167793
84000;327.521051;3.275210;3.152250;7.270750;4.117736
85000;330.544502;3.305445;3.148167;8.023250;4.835624
86000;332.171291;3.321712;3.182459;7.444167;4.251429
87000;339.298172;3.392981;3.222750;8.075209;4.842320
88000;359.937454;3.599374;3.283709;13.963208;13.442050
89000;346.438542;3.464385;3.312500;8.196459;4.886545
90000;347.462332;3.474623;3.319292;7.820834;4.512446
91000;355.318334;3.553183;3.375083;7.773958;4.419200
92000;355.087080;3.550870;3.422292;8.025625;4.599459
93000;362.038171;3.620381;3.460666;8.162416;4.801765
94000;361.420918;3.614209;3.467625;8.154208;4.660666
95000;364.385162;3.643851;3.508125;8.402208;4.882610
96000;371.546915;3.715469;3.547750;8.380791;4.966659
97000;392.954458;3.929544;3.597958;13.599583;11.382074
98000;394.553997;3.945539;3.633000;9.892791;8.705103
99000;390.384168;3.903841;3.714625;8.854042;5.482745
