Size; Duration;Mean;Median;Min;Max
1000;4.457495;0.044574;0.039333;0.391625;0.349166
2000;8.719750;0.087197;0.083750;0.149833;0.065679
3000;12.371374;0.123713;0.084125;0.244375;0.215774
4000;12.948372;0.129483;0.115250;0.614000;0.517470
5000;15.663084;0.156630;0.144750;0.381500;0.239538
6000;18.811833;0.188118;0.174792;0.452625;0.272081
7000;22.253081;0.222530;0.203334;0.597250;0.502437
8000;25.991545;0.259915;0.235708;0.614875;0.385592
9000;29.309625;0.293096;0.274417;0.719125;0.448229
10000;33.571085;0.335710;0.310584;0.826958;0.629655
11000;36.884829;0.368848;0.343125;0.894667;0.675011
12000;41.121828;0.411218;0.376958;0.965292;0.602395
13000;44.236252;0.442362;0.412041;1.092666;0.791778
14000;49.540125;0.495401;0.442209;1.151083;0.886770
15000;51.851380;0.518513;0.489292;1.257084;0.867253
16000;56.188715;0.561887;0.529459;1.353166;0.932919
17000;60.786042;0.607860;0.569958;1.459417;0.984007
18000;63.447874;0.634478;0.594875;1.494959;0.985408
19000;66.998202;0.669982;0.631583;1.601417;1.041918
20000;70.893084;0.708930;0.675917;1.733458;1.119658
21000;80.353840;0.803538;0.709792;1.889541;1.399097
22000;80.954374;0.809543;0.749959;1.909292;1.253175
23000;87.380586;0.873805;0.774875;1.957709;2.130962
24000;90.891667;0.908916;0.810584;3.412333;2.941188
25000;90.616331;0.906163;0.831000;2.199250;1.639960
26000;91.726085;0.917260;0.855375;2.260417;1.477667
27000;95.408501;0.954085;0.904209;2.319500;1.575793
28000;108.989342;1.089893;0.921625;8.041500;7.169215
29000;102.190546;1.021905;0.971709;2.521583;1.643276
30000;106.404754;1.064047;1.005875;2.633375;1.721527
31000;109.853370;1.098533;1.032958;2.718250;1.752839
32000;115.147037;1.151470;1.083125;2.831792;1.797479
33000;117.241082;1.172410;1.107000;3.019875;1.955344
34000;122.809581;1.228095;1.166583;3.066666;1.945036
35000;127.067958;1.270679;1.202125;3.128958;2.009044
36000;133.143800;1.331438;1.251458;3.244750;2.031642
37000;134.960586;1.349605;1.291250;3.322834;2.094806
38000;139.294786;1.392947;1.320959;3.680333;2.375409
39000;142.829375;1.428293;1.359833;3.528208;2.219849
40000;148.911293;1.489112;1.413875;3.605541;2.258243
41000;151.930790;1.519307;1.450542;3.773667;2.399036
42000;157.877411;1.578774;1.503750;3.865542;2.380720
43000;161.263754;1.612637;1.535917;3.985750;2.482082
44000;165.536128;1.655361;1.563833;4.125875;2.601863
45000;169.388667;1.693886;1.596458;4.140875;2.618209
46000;174.744005;1.747440;1.620625;4.395875;2.813027
47000;181.442954;1.814429;1.683458;4.347792;3.689605
48000;183.829457;1.838294;1.695292;4.494708;3.365038
49000;182.169052;1.821690;1.734750;4.529125;2.819032
50000;188.090799;1.880907;1.741584;4.622667;3.089631
51000;195.022873;1.950228;1.800792;4.728375;3.172401
52000;202.852120;2.028521;1.854167;5.599000;4.607708
53000;201.468791;2.014687;1.891750;4.991042;3.263110
54000;206.489705;2.064897;1.938084;5.313042;3.444879
55000;209.916168;2.099161;1.978250;5.061084;3.309181
56000;213.544914;2.135449;2.000000;5.187250;3.283432
57000;239.493377;2.394933;2.065167;15.875041;14.631871
58000;225.114039;2.251140;2.109083;6.638500;4.766975
59000;229.596582;2.295965;2.151875;5.554083;3.628349
60000;231.342045;2.313420;2.190375;5.619167;3.490183
61000;234.481373;2.344813;2.196000;5.675625;3.553709
62000;240.992168;2.409921;2.247167;5.841041;4.365236
63000;243.088790;2.430887;2.285792;5.933416;3.696113
64000;245.564290;2.455642;2.332500;6.032375;3.841884
65000;249.664919;2.496649;2.388750;6.126750;3.759043
66000;252.718161;2.527181;2.405167;6.185584;3.775277
67000;277.014467;2.770144;2.469250;9.193500;8.782902
68000;266.471960;2.664719;2.532333;6.860917;4.312575
69000;268.376162;2.683761;2.525292;6.510666;4.009665
70000;269.288378;2.692883;2.559708;6.585292;4.148615
71000;271.684707;2.716847;2.610833;6.704958;4.103805
72000;276.904664;2.769046;2.659041;7.196250;4.538498
73000;280.555209;2.805552;2.675875;6.903208;4.219268
74000;286.703252;2.867032;2.708250;6.984167;4.301614
75000;293.426039;2.934260;2.749708;7.354459;4.681499
76000;294.086837;2.940868;2.788875;7.227417;4.439689
77000;299.618787;2.996187;2.818333;7.330625;4.604401
78000;302.508417;3.025084;2.846291;7.429208;4.622400
79000;313.127956;3.131279;2.902667;7.740458;4.866124
80000;312.334330;3.123343;2.983625;7.651500;4.664888
81000;332.256331;3.322563;3.013542;7.675875;4.869081
82000;329.316255;3.293162;3.028625;8.175333;5.285606
83000;350.336630;3.503366;3.088500;12.746625;11.864991
84000;340.689047;3.406890;3.148500;8.080958;6.718027
85000;345.703793;3.457037;3.180792;8.226667;5.410809
86000;337.676997;3.376769;3.207625;8.683000;5.551043
87000;343.541379;3.435413;3.250333;8.889625;5.902317
88000;346.998547;3.469985;3.315334;8.446500;5.143128
89000;350.222335;3.502223;3.370375;8.608750;5.259694
90000;354.483044;3.544830;3.379000;8.723750;5.344435
91000;359.544122;3.595441;3.427791;8.817875;5.481406
92000;358.038796;3.580387;3.450792;8.922917;5.481401
93000;362.454787;3.624547;3.469208;8.979042;5.495677
94000;364.677294;3.646772;3.494292;9.232000;5.711638
95000;367.595582;3.675955;3.531667;9.120167;5.578784
96000;373.177881;3.731778;3.597084;9.239042;5.668174
97000;374.857710;3.748577;3.597167;9.562917;5.932401
98000;383.537792;3.835377;3.628291;9.638791;5.976935
99000;385.006199;3.850061;3.636750;9.418208;5.856903
