Size; Duration;Mean;Median;Min;Max
1000;18.091041;0.180910;0.121250;1.197250;1.905573
2000;24.903630;0.249036;0.065000;1.203459;1.097689
3000;10.827878;0.108278;0.096542;0.215042;0.158881
4000;14.661379;0.146613;0.115334;0.772083;0.654826
5000;17.126625;0.171266;0.147875;0.328250;0.197857
6000;20.786711;0.207867;0.174959;0.403666;0.257339
7000;27.114414;0.271144;0.205250;0.873834;0.825874
8000;24.867376;0.248673;0.231917;0.559041;0.345782
9000;33.692826;0.336928;0.286542;0.886500;0.665525
10000;32.500578;0.325005;0.309292;0.701792;0.385908
11000;36.403073;0.364030;0.340500;0.979250;0.781215
12000;38.557790;0.385577;0.363667;0.871042;0.491155
13000;43.065871;0.430658;0.404584;1.019708;0.792283
14000;46.029709;0.460297;0.432291;1.058792;0.837583
15000;49.319874;0.493198;0.464041;1.135959;0.863047
16000;53.162628;0.531626;0.494000;1.209083;0.907302
17000;62.666087;0.626660;0.563666;1.384083;1.015748
18000;63.203794;0.632037;0.598750;1.354458;0.966488
19000;67.701291;0.677012;0.630583;1.439000;0.942575
20000;74.707039;0.747070;0.693000;1.602500;1.198258
21000;75.913705;0.759137;0.719042;1.699208;1.258572
22000;78.470665;0.784706;0.745625;1.739125;1.146531
23000;81.160627;0.811606;0.768250;1.807084;1.062940
24000;83.355247;0.833552;0.791042;1.834334;1.133402
25000;87.150211;0.871502;0.821958;1.931750;1.152335
26000;89.826040;0.898260;0.859542;2.001000;1.229402
27000;94.849666;0.948496;0.893959;2.118167;1.369849
28000;96.569664;0.965696;0.918042;2.187583;1.292229
29000;100.031623;1.000316;0.948000;2.246875;1.366236
30000;103.371410;1.033714;0.986667;2.338334;1.424479
31000;107.166247;1.071662;0.995625;2.433500;1.497653
32000;109.758001;1.097580;1.041917;2.546916;1.584737
33000;121.939703;1.219397;1.164041;2.642917;1.559455
34000;129.101003;1.291010;1.206209;2.732083;1.564808
35000;129.959451;1.299594;1.234167;3.004667;1.807636
36000;131.895293;1.318952;1.266542;2.896459;1.732013
37000;134.862950;1.348629;1.291916;2.966333;1.713857
38000;138.644202;1.386442;1.326750;3.043833;1.757914
39000;144.353042;1.443530;1.368209;3.127750;1.842092
40000;145.216409;1.452164;1.396666;3.210083;1.876412
41000;149.953954;1.499539;1.438583;3.316583;1.899889
42000;153.130877;1.531308;1.471292;3.390041;1.981907
43000;155.961788;1.559617;1.499583;3.454917;2.021048
44000;160.005709;1.600057;1.535083;3.568875;2.057796
45000;162.301747;1.623017;1.554000;3.649167;2.150937
46000;166.096788;1.660967;1.601791;3.738500;2.191954
47000;169.491249;1.694912;1.617541;3.828000;2.241487
48000;173.429329;1.734293;1.663500;3.889083;2.275725
49000;175.887965;1.758879;1.698208;3.990583;2.333794
50000;182.200712;1.822007;1.749333;4.085292;2.411390
51000;184.893889;1.848938;1.777459;4.171875;2.437769
52000;188.433330;1.884333;1.815584;4.254333;2.469000
53000;192.020543;1.920205;1.839000;4.343208;2.538399
54000;196.106003;1.961060;1.877750;4.434000;2.593159
55000;202.489577;2.024895;1.896583;4.526709;2.681989
56000;202.931253;2.029312;1.948333;4.592708;2.693056
57000;206.765382;2.067653;1.982750;4.720000;2.800691
58000;210.053922;2.100539;2.018584;4.794875;2.793401
59000;215.033628;2.150336;2.053083;4.871250;2.996206
60000;216.910206;2.169102;2.084334;4.938708;2.910463
61000;219.510252;2.195102;2.116125;5.063666;2.988478
62000;224.074872;2.240748;2.139917;5.146209;3.017995
63000;226.876748;2.268767;2.182750;5.243042;3.098192
64000;229.803790;2.298037;2.203125;5.308500;3.116999
65000;234.299296;2.342992;2.242667;5.424583;3.209000
66000;255.385168;2.553851;2.454042;5.669042;3.229035
67000;258.953785;2.589537;2.494375;5.703625;3.265838
68000;262.189082;2.621890;2.520500;5.786333;3.290728
69000;265.257338;2.652573;2.557959;5.866417;3.349870
70000;269.300249;2.693002;2.584708;6.050916;3.485416
71000;272.402751;2.724027;2.628000;6.049958;3.430578
72000;276.891871;2.768918;2.653667;6.128917;3.512832
73000;280.127580;2.801275;2.687458;6.205833;3.553232
74000;285.831163;2.858311;2.732292;6.280083;3.557570
75000;291.614958;2.916149;2.768125;6.386292;3.644581
76000;291.865002;2.918650;2.804875;6.490250;3.704715
77000;296.936375;2.969363;2.844125;6.544042;3.705874
78000;299.650085;2.996500;2.870709;6.678000;3.890744
79000;301.971957;3.019719;2.913500;6.702792;3.809465
80000;327.234157;3.272341;2.945292;16.679000;14.166031
81000;420.351208;4.203512;2.991167;18.566750;21.193512
82000;354.754834;3.547548;3.204208;7.564958;6.678826
83000;321.925997;3.219259;3.060500;7.547166;4.541597
84000;321.197999;3.211979;3.099292;7.207583;4.131494
85000;324.845711;3.248457;3.115875;7.571791;4.441970
86000;326.718504;3.267185;3.147875;7.322167;4.195591
87000;332.774542;3.327745;3.196459;7.417666;4.230659
88000;334.837043;3.348370;3.231458;7.506417;4.297115
89000;337.766374;3.377663;3.251875;7.608458;4.353401
90000;345.482668;3.454826;3.294750;7.706625;4.446414
91000;347.528201;3.475282;3.337125;7.802334;4.466844
92000;348.983632;3.489836;3.366500;7.906084;4.532209
93000;355.399244;3.553992;3.402625;9.231167;5.787450
94000;356.894208;3.568942;3.418583;8.068250;4.623016
95000;359.877503;3.598775;3.466625;8.190000;4.708643
96000;364.722330;3.647223;3.502667;8.235500;4.722947
97000;367.118999;3.671189;3.542917;8.366000;4.822957
98000;370.140415;3.701404;3.562625;8.465541;4.901559
99000;380.279629;3.802796;3.669209;9.059583;5.368337
100000;386.601373;3.866013;3.703541;8.739500;5.039714
101000;391.399743;3.913997;3.716209;8.822625;5.088628
102000;404.878337;4.048783;3.761584;9.422084;5.679099
103000;396.657496;3.966574;3.790459;8.949208;5.149135
104000;398.990254;3.989902;3.836625;9.564958;5.707337
105000;402.214373;4.022143;3.885541;9.132416;5.237129
106000;409.621667;4.096216;3.912583;9.885917;5.942204
107000;410.702123;4.107021;3.937625;9.309084;5.339364
108000;414.918751;4.149187;3.974750;9.383208;5.378108
109000;416.819080;4.168190;4.007875;9.512167;5.473539
110000;420.051334;4.200513;4.044791;9.552209;5.495221
111000;423.569995;4.235699;4.082792;9.665084;5.567097
112000;429.589961;4.295899;4.113500;9.763417;5.619442
113000;431.863087;4.318630;4.133417;9.883375;5.734410
114000;436.402040;4.364020;4.179750;9.941292;5.705813
115000;444.164044;4.441640;4.236125;10.455834;6.157281
116000;450.338959;4.503389;4.262083;10.150917;7.056620
117000;447.331046;4.473310;4.303291;10.257459;5.933314
118000;449.956330;4.499563;4.343333;10.314917;5.949790
119000;453.722832;4.537228;4.366542;10.402083;5.997861
120000;459.443497;4.594434;4.412750;10.508458;6.045320
121000;460.999207;4.609992;4.428792;10.641792;6.175224
122000;462.715169;4.627151;4.459917;10.725416;6.233567
123000;469.059996;4.690599;4.513625;10.782042;6.222894
124000;471.808837;4.718088;4.542750;11.270917;6.698127
125000;475.287039;4.752870;4.577083;11.507458;6.885074
126000;487.223047;4.872230;4.615625;11.127542;6.425473
127000;487.727669;4.877276;4.645500;11.591583;6.863798
128000;487.257666;4.872576;4.680167;11.286750;6.590919
129000;494.712788;4.947127;4.715209;11.354750;6.600150
130000;492.278964;4.922789;4.743833;11.526708;6.738056
131000;493.985500;4.939855;4.752750;11.569500;6.771148
132000;533.641411;5.336414;5.159583;11.935708;6.736165
133000;537.060039;5.370600;5.182542;12.079000;6.840929
134000;544.976746;5.449767;5.235458;12.214000;6.919064
135000;549.435665;5.494356;5.259000;12.369917;7.073013
136000;558.571998;5.585719;5.325333;13.051750;7.708201
137000;554.872964;5.548729;5.330250;12.445000;7.071759
138000;556.860999;5.568609;5.366458;12.553959;7.131690
139000;562.642876;5.626428;5.403917;12.698917;7.209742
140000;566.518373;5.665183;5.455833;12.783750;7.267966
141000;571.040293;5.710402;5.499833;12.762958;7.198341
142000;575.270957;5.752709;5.517875;12.795167;7.194841
143000;577.777372;5.777773;5.566083;12.893709;7.265429
144000;582.676785;5.826767;5.596041;12.899917;7.279103
145000;585.745916;5.857459;5.644209;13.008042;7.319245
146000;588.265164;5.882651;5.664375;13.064416;7.369285
147000;589.708799;5.897087;5.671833;13.215959;7.471460
148000;597.201085;5.972010;5.748542;13.504500;7.684368
149000;598.807917;5.988079;5.782083;13.455666;7.612468
150000;606.403041;6.064030;5.820875;13.641667;7.740204
151000;609.227340;6.092273;5.877375;13.724208;7.779620
152000;630.521122;6.305211;5.911375;13.934750;8.467123
153000;654.549752;6.545497;5.928292;14.972209;15.088972
154000;624.335873;6.243358;5.957666;13.784292;7.800906
155000;623.583000;6.235830;5.994041;14.061708;8.025202
156000;643.910042;6.439100;6.037125;14.078084;9.826247
157000;648.017208;6.480172;6.095750;14.662875;8.847867
158000;805.121457;8.051214;6.114208;69.044250;68.327890
159000;722.539662;7.225396;6.157625;23.566708;30.356662
160000;720.655407;7.206554;6.207709;22.797958;27.392178
161000;653.522541;6.535225;6.225709;14.467083;8.204018
162000;652.885204;6.528852;6.284416;14.635333;8.293406
163000;656.491909;6.564919;6.305958;14.735083;8.321208
164000;668.667786;6.686677;6.423792;15.117833;8.581829
165000;669.930121;6.699301;6.410334;15.432208;8.887934
166000;677.225718;6.772257;6.435667;15.030584;9.277085
167000;680.006915;6.800069;6.501375;15.225500;8.627022
168000;686.421166;6.864211;6.546458;15.387292;8.712416
169000;688.108246;6.881082;6.603417;15.707125;8.984920
170000;689.903831;6.899038;6.578792;15.674916;8.962735
171000;692.303126;6.923031;6.629541;15.461167;8.712419
172000;695.053794;6.950537;6.663042;16.067667;9.276358
173000;700.012837;7.000128;6.700875;15.915708;9.064082
174000;703.614707;7.036147;6.693333;15.740833;8.919538
175000;712.145291;7.121452;6.784542;16.283042;9.339029
176000;713.711334;7.137113;6.792500;15.998666;9.044662
177000;712.253580;7.122535;6.817750;16.129792;9.166530
178000;716.058873;7.160588;6.861666;16.654000;9.645437
179000;723.002039;7.230020;6.971833;16.241375;9.156922
180000;724.553082;7.245530;6.944459;16.573583;9.475528
181000;779.617789;7.796177;7.041958;16.817458;15.153443
182000;742.263494;7.422634;7.069958;17.025166;9.830268
183000;766.566461;7.665664;7.085083;25.816709;21.267737
184000;741.287160;7.412871;7.078084;16.929875;9.705761
185000;742.775960;7.427759;7.122833;17.014416;9.718802
186000;747.698255;7.476982;7.160958;17.216625;9.940633
187000;782.650208;7.826502;7.232917;17.215959;12.482698
188000;809.635242;8.096352;7.233000;21.367750;24.225379
189000;770.359333;7.703593;7.352917;17.238167;9.910293
190000;768.958037;7.689580;7.322500;17.658792;10.316170
191000;785.570132;7.855701;7.371959;17.709333;13.090032
192000;915.909795;9.159097;7.440875;90.894458;85.885711
193000;793.543789;7.935437;7.430500;19.552250;14.032451
194000;780.540504;7.805405;7.466125;17.889000;10.276654
195000;883.610575;8.836105;7.505500;22.608250;30.102385
196000;879.455924;8.794559;7.745791;28.387959;22.511451
197000;807.923914;8.079239;7.758208;18.717084;10.851548
198000;820.408955;8.204089;7.761500;18.119458;10.260369
199000;810.885292;8.108852;7.741959;18.385208;10.430051
200000;818.651335;8.186513;7.793250;18.600959;10.607586
201000;820.865333;8.208653;7.879458;18.617042;10.709896
202000;832.902917;8.329029;7.900500;18.952416;11.232800
203000;869.589876;8.695898;7.947500;18.790334;15.192421
204000;829.939957;8.299399;7.962958;19.160584;11.128113
205000;867.402423;8.674024;8.022334;23.004708;18.315496
206000;842.449870;8.424498;8.012167;19.665084;11.568266
207000;848.325925;8.483259;8.059958;19.237000;12.040398
208000;870.462045;8.704620;8.150584;27.756291;22.416392
209000;854.028081;8.540280;8.157125;21.368625;13.112596
210000;872.962420;8.729624;8.244709;22.156042;14.994771
211000;872.949916;8.729499;8.259458;20.170417;12.662766
212000;869.017252;8.690172;8.317375;20.158000;12.088195
213000;892.757129;8.927571;8.369625;19.671333;15.178469
214000;911.247796;9.112477;8.421500;22.864250;21.114731
215000;882.697581;8.826975;8.427334;20.008833;11.571131
216000;894.338465;8.943384;8.503750;22.635000;18.195141
217000;911.177042;9.111770;8.479708;20.432667;14.796042
218000;886.115244;8.861152;8.500584;20.293083;11.978530
219000;882.777583;8.827775;8.528083;20.507750;11.831597
220000;891.066919;8.910669;8.625333;20.423000;11.769732
221000;910.123999;9.101239;8.647417;20.936209;13.316322
222000;905.957842;9.059578;8.685708;20.695167;12.488499
223000;949.734582;9.497345;8.742250;25.068583;21.328883
224000;912.671624;9.126716;8.755917;22.707958;14.002387
225000;908.622378;9.086223;8.800792;21.448167;12.640472
226000;971.011251;9.710112;8.842459;31.563000;26.521757
227000;918.585915;9.185859;8.852917;21.336125;12.409593
228000;927.055249;9.270552;8.883708;21.277458;12.368983
229000;934.322370;9.343223;8.940167;21.488417;13.353729
230000;928.864456;9.288644;9.031458;21.509875;12.378877
231000;967.450330;9.674503;9.045416;21.680208;13.657787
232000;984.275710;9.842757;9.086542;39.465000;32.471054
233000;954.914626;9.549146;9.126584;21.833833;12.934401
234000;967.646961;9.676469;9.186333;21.898500;14.508674
235000;974.139372;9.741393;9.202625;43.895792;34.391501
236000;1274.887798;12.748877;9.248917;134.449458;153.963220
237000;1135.718248;11.357182;9.292416;26.099250;34.159615
238000;989.365752;9.893657;9.314083;26.291417;16.919482
239000;964.397501;9.643975;9.371750;22.520041;13.037173
240000;968.682413;9.686824;9.385416;22.558167;13.029784
241000;972.366630;9.723666;9.444000;23.057708;13.497875
242000;996.988782;9.969887;9.470000;22.851917;13.808387
243000;1003.308332;10.033083;9.468458;23.743042;15.593047
244000;1043.996875;10.439968;9.512500;24.063417;17.290253
