Size; Duration;Mean;Median;Min;Max
1000;12.533000;0.125330;0.112333;0.394542;0.278629
2000;25.303918;0.253039;0.040916;0.328583;0.520503
3000;6.687962;0.066879;0.063917;0.153583;0.097160
4000;8.772286;0.087722;0.072208;0.202917;0.139175
5000;9.435547;0.094355;0.089333;0.246959;0.169061
6000;11.539624;0.115396;0.110125;0.286250;0.190356
7000;13.473872;0.134738;0.128541;0.353041;0.247740
8000;15.078331;0.150783;0.143416;0.390542;0.256507
9000;17.437213;0.174372;0.167292;0.429500;0.274485
10000;20.178042;0.201780;0.189917;0.488667;0.306346
11000;22.246702;0.222467;0.212625;0.552041;0.353686
12000;24.620290;0.246202;0.234084;0.648917;0.439825
13000;27.246006;0.272460;0.256625;0.684833;0.448529
14000;29.472500;0.294725;0.277334;0.725209;0.618537
15000;31.495883;0.314958;0.299042;0.791166;0.506229
16000;33.361373;0.333613;0.317208;0.835458;0.534085
17000;35.703747;0.357037;0.345167;0.903542;0.580567
18000;38.558251;0.385582;0.368750;0.927458;0.585896
19000;42.307169;0.423071;0.397291;1.061500;0.700144
20000;43.959964;0.439599;0.406250;1.106500;0.723203
21000;45.450084;0.454500;0.431416;1.168667;0.762322
22000;48.207007;0.482070;0.456917;1.213459;0.816101
23000;53.865245;0.538652;0.480875;1.248375;0.880077
24000;53.139875;0.531398;0.497791;1.278292;0.849132
25000;55.521250;0.555212;0.522542;1.386250;0.895423
26000;56.476673;0.564766;0.543084;1.406916;0.897273
27000;58.426043;0.584260;0.562959;1.442917;0.908306
28000;60.604578;0.606045;0.577250;1.485208;0.940220
29000;62.885080;0.628850;0.600834;1.601167;1.045296
30000;64.845879;0.648458;0.618083;1.644208;1.063504
31000;66.938755;0.669387;0.636500;1.645000;1.091690
32000;68.142126;0.681421;0.652042;1.766125;1.137368
33000;70.474209;0.704742;0.674458;1.821375;1.169067
34000;73.946003;0.739460;0.701208;1.865541;1.187627
35000;76.190414;0.761904;0.731334;1.889583;1.182761
36000;78.648743;0.786487;0.756958;1.944459;1.222083
37000;81.717251;0.817172;0.784500;1.987625;1.238202
38000;84.921503;0.849215;0.812542;2.119458;1.381852
