Size; Duration;Mean;Median;Min;Max
0;5.787250;5.787250;5.787250;5.787250;0.000000
1;5.566958;5.566958;5.566958;5.566958;0.000000
2;5.470875;5.470875;5.470875;5.470875;0.000000
3;5.368708;5.368708;5.368708;5.368708;0.000000
4;5.054667;5.054667;5.054667;5.054667;0.000000
5;5.116667;5.116667;5.116667;5.116667;0.000000
6;4.707083;4.707083;4.707083;4.707083;0.000000
7;4.600917;4.600917;4.600917;4.600917;0.000000
8;4.637875;4.637875;4.637875;4.637875;0.000000
9;4.431375;4.431375;4.431375;4.431375;0.000000
10;4.278583;4.278583;4.278583;4.278583;0.000000
11;4.200042;4.200042;4.200042;4.200042;0.000000
12;3.969417;3.969417;3.969417;3.969417;0.000000
13;4.098084;4.098084;4.098084;4.098084;0.000000
14;3.945542;3.945542;3.945542;3.945542;0.000000
15;4.085084;4.085084;4.085084;4.085084;0.000000
16;4.003625;4.003625;4.003625;4.003625;0.000000
17;3.845000;3.845000;3.845000;3.845000;0.000000
18;3.984208;3.984208;3.984208;3.984208;0.000000
19;3.869334;3.869334;3.869334;3.869334;0.000000
20;3.711083;3.711083;3.711083;3.711083;0.000000
21;3.648167;3.648167;3.648167;3.648167;0.000000
22;3.565292;3.565292;3.565292;3.565292;0.000000
23;3.490917;3.490917;3.490917;3.490917;0.000000
24;3.447500;3.447500;3.447500;3.447500;0.000000
25;3.478167;3.478167;3.478167;3.478167;0.000000
26;3.426875;3.426875;3.426875;3.426875;0.000000
27;3.590625;3.590625;3.590625;3.590625;0.000000
28;3.558459;3.558459;3.558459;3.558459;0.000000
29;3.485833;3.485833;3.485833;3.485833;0.000000
30;3.495625;3.495625;3.495625;3.495625;0.000000
31;3.580958;3.580958;3.580958;3.580958;0.000000
32;3.487541;3.487541;3.487541;3.487541;0.000000
33;3.424583;3.424583;3.424583;3.424583;0.000000
34;3.520416;3.520416;3.520416;3.520416;0.000000
35;3.410459;3.410459;3.410459;3.410459;0.000000
36;3.577042;3.577042;3.577042;3.577042;0.000000
37;3.604542;3.604542;3.604542;3.604542;0.000000
38;3.561333;3.561333;3.561333;3.561333;0.000000
39;3.463041;3.463041;3.463041;3.463041;0.000000
