Size; Duration;Mean;Median;Min;Max
0;5704.754958;5704.754958;5704.754958;5704.754958;0.000000
1;3511.552500;3511.552500;3511.552500;3511.552500;0.000000
2;1790.163833;1790.163833;1790.163833;1790.163833;0.000000
3;853.129084;853.129084;853.129084;853.129084;0.000000
4;905.782625;905.782625;905.782625;905.782625;0.000000
5;324.017417;324.017417;324.017417;324.017417;0.000000
6;191.144000;191.144000;191.144000;191.144000;0.000000
7;97.726250;97.726250;97.726250;97.726250;0.000000
8;75.733333;75.733333;75.733333;75.733333;0.000000
9;54.624833;54.624833;54.624833;54.624833;0.000000
10;55.782000;55.782000;55.782000;55.782000;0.000000
11;16.094208;16.094208;16.094208;16.094208;0.000000
12;12.706458;12.706458;12.706458;12.706458;0.000000
13;9.928083;9.928083;9.928083;9.928083;0.000000
14;8.381417;8.381417;8.381417;8.381417;0.000000
15;6.694166;6.694166;6.694166;6.694166;0.000000
16;6.402209;6.402209;6.402209;6.402209;0.000000
17;6.388667;6.388667;6.388667;6.388667;0.000000
18;6.470000;6.470000;6.470000;6.470000;0.000000
19;6.463750;6.463750;6.463750;6.463750;0.000000
20;6.259959;6.259959;6.259959;6.259959;0.000000
21;6.342125;6.342125;6.342125;6.342125;0.000000
22;6.383416;6.383416;6.383416;6.383416;0.000000
23;6.330166;6.330166;6.330166;6.330166;0.000000
24;6.134375;6.134375;6.134375;6.134375;0.000000
25;6.117833;6.117833;6.117833;6.117833;0.000000
26;6.265291;6.265291;6.265291;6.265291;0.000000
27;6.264917;6.264917;6.264917;6.264917;0.000000
28;6.097875;6.097875;6.097875;6.097875;0.000000
29;6.151792;6.151792;6.151792;6.151792;0.000000
30;6.106958;6.106958;6.106958;6.106958;0.000000
31;6.254542;6.254542;6.254542;6.254542;0.000000
32;6.330083;6.330083;6.330083;6.330083;0.000000
33;6.286875;6.286875;6.286875;6.286875;0.000000
34;7.162375;7.162375;7.162375;7.162375;0.000000
35;6.552750;6.552750;6.552750;6.552750;0.000000
36;6.070500;6.070500;6.070500;6.070500;0.000000
37;6.343166;6.343166;6.343166;6.343166;0.000000
38;6.474667;6.474667;6.474667;6.474667;0.000000
39;6.429833;6.429833;6.429833;6.429833;0.000000
